Product Id (Don't Modify),Product Name,Web Price,Discounted Price,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N)
P-532540,1 Year Plus Insurance,99.00,99,9,%,0.00,Y
P-532537,1 Year Standard Insurance,79.00,79,7,%,0.00,Y
P-534160,12v 100A/H Battery,209.00,139.00,13,Exact,139.00,Y
P-533894,12v 10A/H Battery,31.00,21.99,2,Exact,21.99,Y
P-533895,12v 12A/H Battery,49.00,33.00,3,Exact,33.00,Y
P-533942,12v 18A/H Battery,58.00,39.00,3,Exact,39.00,Y
P-532697,12v 22A/H Battery,69.00,46.00,4,Exact,46.00,Y
P-533941,12v 30A/H Battery,80.00,51.00,5,Exact,51.00,Y
P-533886,12v 40A/H Battery,91.00,61.00,6,Exact,61.00,Y
P-532700,12v 50A/H Battery,114.00,76.00,7,Exact,76.00,Y
P-532698,12v 75A/H Battery,163.00,109.00,10,Exact,109.00,Y
P-534240,16' XS Aluminium Wheelchair Transit,220.00,220,22,%,0.00,Y
P-534237,16'' SD2 Wheelchair Self Propel (Black),449.00,295.00,29,Exact,295.00,Y
P-534238,16'' SD2 Wheelchair Transit (Black),500.00,305.00,30,Exact,305.00,Y
P-534239,16'' XS Aluminium Wheelchair Self Propel,349.00,220.00,22,Exact,220.00,Y
P-534247,18' XS Aluminium Wheelchair Transit,220.00,220,22,%,0.00,Y
P-534241,18'' S4 Superior Steel Self Propel (Green),249.00,160.00,16,Exact,160.00,Y
P-534242,18'' S4 Superior Steel Transit (Green),249.00,160.00,16,Exact,160.00,Y
P-534243,18'' SD2 Wheelchair Self Propel (Black),399.00,295.00,29,Exact,295.00,Y
P-534244,18'' SD2 Wheelchair Transit (Black),399.00,305.00,30,Exact,305.00,Y
P-534245,18'' Silver Sport Self Propel Wheelchair,199.00,90.00,9,Exact,90.00,Y
P-534246,18'' XS Aluminium Wheelchair Self Propel,349.00,220.00,22,Exact,220.00,Y
P-532667,2 ft Folding Ramp,99.00,59.00,5,Exact,59.00,Y
P-532541,2 Year Plus Insurance,175.00,175,17,%,0.00,Y
P-532538,2 Year Standard Insurance,142.00,142,14,%,0.00,Y
P-532868,2'' Square Cut Canvas Cushion 18'' Width,29.00,20.00,2,Exact,20.00,Y
P-534256,20' XS Aluminium Transit Wheelchair (Red),195.00,195,19,%,0.00,Y
P-534258,20' XS Aluminium Wheelchair Transit,220.00,220,22,%,0.00,Y
P-534248,20'' Lightweight Aluminium Wheelchair Self Propel,299.00,185.00,18,Exact,185.00,Y
P-534249,20'' Lightweight Aluminium Wheelchair Transit,299.00,180.00,18,Exact,180.00,Y
P-534250,20'' SD2 Wheelchair Self Propel (Black),399.00,295.00,29,Exact,295.00,Y
P-534251,20'' SD2 Wheelchair Transit (Black),399.00,305.00,30,Exact,305.00,Y
P-534252,20'' Sentra EC Wheelchair With Footrests,299.00,245.00,24,Exact,245.00,Y
P-534253,20'' XS Aluminium Self Propel Wheelchair (Blue),349.00,190.00,19,Exact,190.00,Y
P-534254,20'' XS Aluminium Self Propel Wheelchair (Red),349.00,195.00,19,Exact,195.00,Y
P-534257,20'' XS Aluminium Wheelchair Self Propel,349.00,220.00,22,Exact,220.00,Y
P-534261,22' Sentra EC Wheelchair With Footrests,399.00,305.00,30,Exact,305.00,Y
P-534259,22'' SD2 Wheelchair Self Propel (Black),399.00,315.00,31,Exact,315.00,Y
P-534260,22'' SD2 Wheelchair Transit (Black),399.00,325.00,32,Exact,325.00,Y
P-534262,22'' Standard Steel Wheelchair Self Propel,299.00,195.00,19,Exact,195.00,Y
P-534263,22'' Standard Steel Wheelchair Transit,299.00,195.00,19,Exact,195.00,Y
P-534264,24' Sentra EC Wheelchair With Footrests,459.00,325.00,32,Exact,325.00,Y
P-534265,28' Sentra EC Wheelchair With Footrests,899.00,725.00,72,Exact,725.00,Y
P-534221,2GO Ability  Move,249.00,119.99,11,Exact,119.99,Y
P-534222,2GO Ability  Pace,159.00,79.00,7,Exact,79.00,Y
P-534235,2Go Access Lightweight Wheelchair,249.00,129.00,12,Exact,129.00,Y
P-534161,2Go Quest Electric Wheelchair,1845.00,779.00,77,Exact,779.00,Y
P-532668,3 ft Folding Ramp,85.00,61,6,Value,24.00,Y
P-532564,3 ft Roll-Up Ramp,99.00,66.00,6,Exact,66.00,Y
P-532760,3 in 1 Mobility Poncho Sleeved,59.00,45.00,4,Exact,45.00,Y
P-532759,3 in 1 Mobility Poncho Unsleeved,59.00,40.00,4,Exact,40.00,Y
P-532542,3 Year Plus Insurance,259.00,259,25,%,0.00,Y
P-532539,3 Year Standard Insurance,205.00,205,20,%,0.00,Y
P-534266,30' Sentra EC Wheelchair With Footrests,1195.00,795.00,79,Exact,795.00,Y
P-533931,4 ft Folding Ramp,129.00,71.00,7,Exact,71.00,Y
P-533935,5 ft Folding Ramp,149.00,96.00,9,Exact,96.00,Y
P-533936,6 ft Folding Ramp,199.00,120.00,12,Exact,120.00,Y
P-532563,6 ft Smart Ramp,329.00,240.00,24,Exact,240.00,Y
