Old Category Id,New Category Id,Parent Id
72772,77674,7943
75244,77675,7133
75245,77676,0
74889,77677,7128
76412,77678,76314
76413,77679,76314
73746,77680,7133
75219,77681,0
72775,77682,7125
7125,77683,0
7126,77684,0
7127,77685,7129
7128,77686,0
7129,77687,0
7130,77688,0
7131,77689,0
7132,77690,7131
7133,77691,0
7134,77692,7133
7135,77693,46251
7136,77694,7133
7140,77695,7125
7141,77696,7125
7143,77697,7125
7196,77698,0
7214,77699,0
7316,77700,7125
7943,77701,7125
8760,77702,7131
37245,77703,0
38082,77704,7131
38762,77705,0
39085,77706,7131
41703,77707,44317
42058,77708,0
43262,77709,7131
43666,77710,0
43667,77711,43666
43669,77712,43666
43670,77713,43666
44317,77714,0
44318,77715,0
44319,77716,44317
44489,77717,7133
44522,77718,7133
44604,77719,7125
44605,77720,7126
44606,77721,7126
44607,77722,7126
44609,77723,7126
44610,77724,7126
45191,77725,7126
45384,77726,7125
46114,77727,7133
46136,77728,42058
46251,77729,0
46252,77730,46251
46253,77731,46251
46254,77732,46251
46257,77733,0
46437,77734,0
46438,77735,0
46449,77736,0
46460,77737,46437
46461,77738,46437
46462,77739,46437
46463,77740,46437
46464,77741,46437
46465,77742,46437
46466,77743,46437
46467,77744,46437
46468,77745,46438
46469,77746,46438
46470,77747,46438
46471,77748,46438
46472,77749,46438
73758,77750,7129
72753,77751,7943
72754,77752,0
72780,77753,7131
73613,77754,0
72876,77755,7129
76427,77756,46449
73604,77757,46438
73640,77758,46438
73012,77759,0
73098,77760,7133
73748,77761,7133
73656,77762,46257
73454,77763,0
73455,77764,73454
73633,77765,46438
73627,77766,0
73798,77767,7125
73601,77768,46438
73606,77769,46438
73608,77770,0
73614,77771,73613
73615,77772,73613
73616,77773,46438
73617,77774,73613
73618,77775,73613
73619,77776,73613
73620,77777,73613
73757,77778,7129
73756,77779,7129
73755,77780,7133
74459,77781,46469
73626,77782,46438
73637,77783,7126
73645,77784,46438
73657,77785,46257
73658,77786,46257
73660,77787,46257
73684,77788,44317
73708,77789,46257
73709,77790,46257
73710,77791,46257
73711,77792,46257
73712,77793,46438
73747,77794,7133
73749,77795,0
73750,77796,46251
73751,77797,7133
73752,77798,7133
73753,77799,7133
73759,77800,7129
73760,77801,7129
73761,77802,7214
73763,77803,7214
73764,77804,7214
73765,77805,44604
73766,77806,44604
73767,77807,44604
73821,77808,7133
73822,77809,7133
73823,77810,7133
73779,77811,44318
73780,77812,44318
73781,77813,44318
73782,77814,44318
73788,77815,44317
73783,77816,44317
73784,77817,73684
73785,77818,73684
73786,77819,73684
73787,77820,73684
73799,77821,7125
73802,77822,7141
73803,77823,7141
73805,77824,7316
73809,77825,73098
73810,77826,73098
73811,77827,73098
73812,77828,73098
73813,77829,73746
73814,77830,73746
73815,77831,73746
73816,77832,73746
73824,77833,7133
73825,77834,7133
73826,77835,7133
73828,77836,7133
73829,77837,73746
73830,77838,7133
73831,77839,44489
73832,77840,44489
73833,77841,44489
73834,77842,44489
73835,77843,44489
73836,77844,44489
73837,77845,44489
73879,77846,7125
74411,77847,0
75042,77848,72876
75043,77849,72876
75044,77850,72876
75045,77851,72876
75046,77852,72876
75116,77853,0
75315,77854,46449
76013,77855,7131
76389,77856,76314
76316,77857,76314
76314,77858,7214
76315,77859,76314
76429,77860,44318
76440,77861,76429
76441,77862,76429
76442,77863,76429
76838,77864,7131
76839,77865,46449
76840,77866,7131
76841,77867,7214
76843,77868,7214
76844,77869,7214
76845,77870,7214
76846,77871,7131
76847,77872,0
