Old comb Id,New comb Id,Image id
158283,198792,0
158284,198793,0
158285,198794,0
158286,198795,0
158287,198796,0
158288,198797,0
158289,198798,0
158290,198799,0
158291,198800,0
158292,198801,0
158293,198802,0
158294,198803,0
158295,198804,0
158296,198805,0
158297,198806,0
158298,198807,0
158299,198808,0
158300,198809,0
158301,198810,0
158302,198811,0
158303,198812,0
158304,198813,0
158305,198814,0
158306,198815,0
158307,198816,0
158308,198817,0
158309,198818,0
158310,198819,0
158311,198820,0
158312,198821,0
158313,198822,0
158314,198823,0
158315,198824,0
158316,198825,0
158317,198826,0
158318,198827,0
158319,198828,0
158320,198829,0
158321,198830,0
158322,198831,0
158323,198832,0
158324,198833,0
158325,198834,0
158326,198835,0
158327,198836,0
158328,198837,0
158329,198838,0
158330,198839,0
158331,198840,0
158332,198841,0
158333,198842,0
158334,198843,0
158335,198844,0
158336,198845,0
158337,198846,0
158338,198847,0
158339,198848,0
158340,198849,0
158341,198850,0
158342,198851,0
158343,198852,0
158344,198853,0
158345,198854,0
158346,198855,0
158347,198856,0
158348,198857,0
158349,198858,0
158350,198859,0
158351,198860,0
158352,198861,0
158353,198862,0
158354,198863,0
158355,198864,0
158356,198865,0
158357,198866,0
158358,198867,0
158359,198868,0
158360,198869,0
158361,198870,0
158362,198871,0
158363,198872,0
158364,198873,0
158365,198874,0
158366,198875,0
158367,198876,0
158368,198877,0
158369,198878,0
158370,198879,0
158371,198880,0
158372,198881,0
158373,198882,0
158374,198883,0
158375,198884,0
158376,198885,0
158377,198886,0
158378,198887,0
158379,198888,0
158380,198889,0
158381,198890,0
158382,198891,0
158383,198892,0
158384,198893,0
158385,198894,0
158386,198895,0
158387,198896,0
158388,198897,0
158389,198898,0
158390,198899,0
158391,198900,0
158392,198901,0
158393,198902,0
158394,198903,0
158395,198904,0
158396,198905,0
158397,198906,0
158398,198907,0
158399,198908,0
158400,198909,0
158401,198910,0
158402,198911,0
158403,198912,0
158404,198913,0
158405,198914,0
158406,198915,0
158407,198916,0
158408,198917,0
158409,198918,0
158410,198919,0
158411,198920,0
158412,198921,0
158413,198922,0
158414,198923,0
158415,198924,0
158416,198925,0
158417,198926,0
158418,198927,0
158419,198928,0
158420,198929,0
158421,198930,0
158422,198931,0
158423,198932,0
158424,198933,0
158425,198934,0
158426,198935,0
158427,198936,0
158428,198937,0
158429,198938,0
158430,198939,0
158431,198940,0
158432,198941,0
158433,198942,0
158434,198943,0
158435,198944,0
158436,198945,0
158437,198946,0
158438,198947,0
158439,198948,0
158440,198949,0
158441,198950,0
158442,198951,0
158443,198952,0
158444,198953,0
158445,198954,0
158446,198955,0
158447,198956,0
158448,198957,0
158449,198958,0
158450,198959,0
158451,198960,0
158452,198961,0
158453,198962,0
158454,198963,0
