Old Shop Id,New ShopId,Parent Id
27557,28185,0
27558,28186,0
27559,28187,0
27564,28188,0
27581,28189,0
27582,28190,0
27611,28191,0
27623,28192,0
27800,28193,0
27801,28194,0
27638,28195,0
27650,28196,0
27717,28197,0
27790,28198,0
27802,28199,0
27803,28200,0
27804,28201,0
27805,28202,0
27806,28203,0
27807,28204,0
27808,28205,0
27809,28206,0
27810,28207,0
27811,28208,0
27812,28209,0
27832,28210,0
27952,28211,0
27970,28212,0
27971,28213,0
27972,28214,0
27973,28215,0
28043,28216,0
28125,28217,0
