Old Static Id,New Static Id
49850,50092
49852,50093
49371,50094
49373,50095
49372,50096
49277,50097
24127,50098
686,50099
687,50100
688,50101
24012,50102
22539,50103
22538,50104
22521,50105
22540,50106
22541,50107
22542,50108
22543,50109
22544,50110
22545,50111
22546,50112
22547,50113
24113,50114
23267,50115
23270,50116
23269,50117
23271,50118
23272,50119
24178,50120
24189,50121
24136,50122
49434,50123
49374,50124
50020,50125
49383,50126
49442,50127
49400,50128
49402,50129
49462,50130
49700,50131
49433,50132
49451,50133
49455,50134
49457,50135
49464,50136
49461,50137
49468,50138
49482,50139
49469,50140
49477,50141
49476,50142
49473,50143
49474,50144
49479,50145
49481,50146
49490,50147
49491,50148
49492,50149
49496,50150
49538,50151
49717,50152
49731,50153
49732,50154
49744,50155
49791,50156
49752,50157
49920,50158
49801,50159
49805,50160
49816,50161
49854,50162
