Scoota Mart Category,New Product Category,Checked,Remove,Product Id (Don't Modify),Product Name,Added on (D-dd/mm/YY HH:MM:SS),Barcode (applicable only if variable combinations not used),Product Id,Model,Short Description,Product Keywords (will be used while searching for products in website),Is Hidden? (Y/N),Cost Price,Web Price,Weight,Reorder Quantity,Extra Shipping Cost,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N),Variable Stock Allowed? (Y/N) (Dont't Modify),Fixed Web Stock (applicable only if Variable Stock Allowed is 'N'),Preorder Allowed? (Y/N),Maximum number of times preorder will be allowed? (applicable only if Preorder is Y),In Stock Date (applicable only if preorder is Y)  (D-dd/mm/YY),Product Deposit %,Product deposit message (will be considered only if Product deposit is >0),Activate Buy link (Y/N),Activate Enquire link (Y/N),Heading to be shown for size chart (applicable only if size chart is managed),Show Variable in new row in product details page? (Y / N),Allow Stock Notification?,Hide Product when out of stock?,Allow ordering even if out of stock (Y/N)?,Allow free Delivery? (Y/N),Caption to be displayed for Qty,"Qty type (Normal,Dropdown)","Value to be displayed in dropdown box. Seperate using comma (,) (applicable only if qty type is Dropdown",Prefix to be used for Qty (applicable only if Qty type is Drop down box),Suffix to be used for Qty (applicable only if Qty type is Drop down box),Prefix for Normal price,Suffix for Normal price,Prefix for From price,Suffix for From price,Prefix for Special offer price,Suffix for Special offer price,Prefix for Discount,Suffix for Discount,Prefix for You Save Price,Suffix for You Save Price,Caption for No Price,Show Price Promise button in details page? (Y/N),Show Sale Icon (Y/N),Caption for sale icon (applicable only if Sale icon is Y),Show New Icon (Y/N),Caption for new icon (applicable only if New icon is Y),Variable Combination Image Allowed (Don't Modify),Unique Ids of Images from Image gallery. Seperate Id's using '=>' (applicable only if Variable Combination Image is 'N'. Already assigned Images which are not specified in this column will be unassigned automatically before saving the current id's,Variable Combination Price Allowed (Don't Modify),Allow Bulk Discount (Y/N),"Format (Qty1=>Price1,Qty2=>Price2) (applicable only if Variable combination price allowed is 'N')"
Bathlift,,Yes,,P-533736,CareCo Relaxa Bathlift,D-09/12/2013 08:35:58,,CareCo Relaxa bathlift,CareCo Relaxa Bathlift,CareCo Relaxa Bathlift - Possibly the best Belt Bathlift in the UK,"relaxa bathlift, relaxa bath lift, belt bathlift, belt bath lift, relaxa belt bathlift",N,425,1298.22,0,0,0,0,Exact,700.74,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,Y,*** The Best Belt Bathlift in the UK ***,N,314667,N,N,
Bathlift,,Yes,,P-533184,Bath Buddy Bathlift,D-09/12/2013 08:35:01,,RBF Products,Bath Buddy Bathlift,"Bath Buddy Bathlift - If you have forgotten what it is like to bathe in comfort, to be in a bath where you can lie back and have a long leisurely soak. Then try the Bath-Buddy inflatable bath lift.","bath buddy,bath buddy inflatable bath lift,bathlift,bath lift,Bath Buddy bathlift",N,360,776.93,8,0,0,0,Exact,500.24,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312483=>312484=>312486=>312488,N,N,
Battery,,Yes,Yes,P-532699,12v 110A/H Battery,D-09/12/2013 08:33:22,,BAT/UB12-110,,12v 110A/H Battery,,N,0,195.48,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314923,N,N,
Battery,,Yes,,P-533894,12v 10A/H Battery,D-09/12/2013 08:36:18,,BAT/UB12-10,,12v 10A/H Battery,,N,28.99,21.99,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314913,N,N,
Battery,Battery,Yes,,NEW,12v 100A/H Battery,D-09/12/2013 08:33:22,,BAT/UB12-100,,12v 100A/H Battery,,N,0,139,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,NEW,N,N,
Battery,,Yes,,P-533895,12v 12A/H Battery,D-09/12/2013 08:36:18,,BAT/UB12-12,,12v 12A/H Battery,,N,0,33,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314914,N,N,
Battery,,Yes,,P-533942,12v 18A/H Battery,D-09/12/2013 08:36:25,,BAT/UB12-18,,12v 18A/H Battery,,N,45,39,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314916,N,N,
Battery,,Yes,,P-533941,12v 35A/H Battery,D-09/12/2013 08:36:25,,BAT/UB12-35,,12v 35A/H Battery,,N,59,56,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314918,N,N,
Battery,,Yes,,P-533886,12v 40A/H Battery,D-09/12/2013 08:36:16,,BAT/UB12-40,,12v 40A/H Battery,,N,64,61,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314919,N,N,
Battery,,Yes,,P-532700,12v 50A/H Battery,D-09/12/2013 08:33:22,,BAT/UB12-50,,12v 50A/H Battery,,N,89,76,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314920,N,N,
