"Part Number","Long Description (used in Web & AMO)","Main Description (used in Web & AMO)","Manufacturer part code","Supplier Name","Supplier Number","RRP","Website Price","eBay DMD price","eBay CareCo price","Amazon price","Brochure price","DMW web price","Max Speed (mph)","Max Range (miles)","Max User Weight (stone)","Colour","Number of wheels","Tyres (Solid/Pnuematicc)","Heaviest Part (kg)","Battery Size Ah","Ground clearance (inches)","Turning radius (inches)","Width (inches)","Length (inches)","Tiller Type","Suspension","Swivel seat","Light","On/Off board charging","Portable","Web Weight (kg)","Shipping Weight","Shipping Size (S,L)","Container Cost Price","Single Cost Price","Engineered Delivery","Vatable",,,,"Product Category","Website Image Link","Website Video Link"
,"Drive Mercury Neo 6","The Drive Mercury Neo 6 is an excellent addition to the Mercury range of scooters, it has suspension to the front of the scooter which helps you to enjoy a comfortable ride. 

The Neo 6 comes with standard features like front and rear lights, it is a very flexible scooter for use whenever you need it.

This scooter is the 6 mph version which means that you can us it on the road if you wish but it has a 4 mph switch for pavement use. If you are looking for something a little 

faster take a look at the Neo 8 the 8mph version.

The standard seat swivels to allow you easy access to the scooter whilst having the power to carry a 21 stone passenger up to 20 miles between charges.

The Drive Mercury Neo 6 mobility scooter offers excellent all-round value and you can choose to upgrade to the 8 mph Neo mobility scooter if you wish!

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call 

out, and 3 months free scooter insurance all for the price you see!","MS041","Drive Medical Ltd",,"£3,795.00",835," £835.00"," £835.00"," £835.00"," £835.00",835,6,20,"21st 5lbs","Red, Blue, Champagne",4,"Solid","N/A",36,4,43.25,22.75,49.5,"Standard","Yes","Yes","Yes","On","No",86,,"L",," £730.00","Y","N",,,,,,
,"Pride Colt Deluxe","The Pride Mobility Colt Deluxe 6 mph mobility scooter is a mid range scooter sitting between the 

excellent range of Pride 4 mph mobilty scooters and the bigger, high performance 8 mph mobility 

scooter range.

The Colt Deluxe has a 6mph maximum speed with a range on full charge of up to 20 miles, the Colt 

Deluxe enjoys many of the features of the bigger mobility scooters whilst maintaining very compact 

dimensions.

The Colt Deluxe offers a maximum user weight of 28 stones and a potential range of 20 miles 

between charges.

The Pride Colt Deluxe Mobility Scooter will easy to dismantle for occasional transport, with both 

lights and indicators you are assured of a safe ride on the Pride Colt Plus. Adding to the smooth 

ride the captains seat is fully adjustable and has suspension, this ensures that you enjoy a 

really smooth and comfortable ride whatever the terrain.

All our scooters are supplied with batteries and a charger, and include free courier delivery to 

your door, 12 months parts and labour warranty including home engineer call out, and 3 months free 

scooter insurance all for the price you see!","SC710DXUK","Pride Mobility Ltd",," £3,750.00",949," £949.00"," £949.00"," £949.00"," £949.00",949,6,21,"28st 8lbs","Red, Grey",4,"Solid","N/A",40,2.25,52.5,22,47,"Delta","Yes","Yes","Yes","On","No",97.5,,"L",," £715.00","Y","N",,,,,,
,"CareCo Universe","CareCo are proud to introduce to you the CareCo Universe 4 wheel 8 mph mobility scooter. The 

Universe is equipped with the latest technology and packed full of features at an incredible 

price. 

Ensuring the riders comfort is very important to us, the Universe comes equipped with independent 

suspension on both the front and rear wheels to provide a smooth ride over different terrains.
To ensure the ride is as comfortable as possible careful attention has been taken on the seat 

which can rotate through 360 degrees and has foldable backrest, with additional adjustment in the 

backrest you are assured of a comfortable ride.


Safety is a key feature in our mobility scooters, careful attention to safety is paramount on the 

CareCo Universe Scooter, for the evenings the Universe comes complete with indicators, front and 

rear lights and a horn. The dashboard has a state of the art tip touch display giving you battery 

level and other useful information. The electro magnetic braking system on the CareCo Universe 

ensures you stop with confidence.

The Universe can carry a 27 stone passenger up to 20 miles in between charging making the Univers 

ideal for larger mobility users. To ensure your comfort the tiller is height adjustable to allow 

you to set it correctly for you.


All our scooters are supplied with batteries and a charger, and include free courier delivery to 

your door, 12 months parts and labour warranty including home engineer call out, and 3 months free 

scooter insurance all for the price you see!","UNIVERSE","CareCo Ltd",," £3,999.00",979," £979.00"," £979.00"," £979.00"," £979.00",979,8,22,"27st 7lbs","Blue, Bronze",4,"Pneumatic","N/A",50,4,63.5,25.75,57.5,"Delta","Yes","Yes","Yes","On","No",127,,"L"," £735.00",,"Y","N",,,,,,
,"Rascal 388 XL","The Electric Mobility Rascal 388 XL mobility scooter is an on road, 6mph Class 3 mobility scooter. The Rascal 388XL is designed with a narrow, compact chassis to allow easy manoeuvring at home or around the shops,  its 

narrow 21"" width ensures the 388XL is a powerful yet nimble mobility scooter.

With comfort in mind the Electric Mobility Rascal 388xl boasts a fully adjustable Captains seat with headrest to ensure your comfort whilst using the scooter. With the combination of the captains seat with the all round 

suspension and large 11"" pneumatic tyres you know the ride quality will be exceptionally smooth.

The Rascal has two 34 ah batteries which give the 388XL a range of up to 20 miles between charges and a maximum user weight capacity of over 21 stone. The Rascal 388XL can be used as either 6mph scooter or if 

pavement use is required there is a 4 mph switch to limit the top speed of your scooter. The Rascal 388XL also has an exceptional ground clearance of 3.5"". 

The Rascal 388 XL mobility scooter offers plenty of leg room, comfort and lots of range! 

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","388XL","Electric Mobility Ltd",," £2,875.00",999," £999.00"," £999.00"," £999.00"," £999.00",999,6,20,"21st 5lbs","Red",4,"Pneumatic","N/A",34,5,57.5,22,50,"Standard","Yes","Yes","Yes","On","No",85,,"L",," £749.00","Y","N",,,,,,
,"Shoprider Perrero","The Roma Perrero mobility scooter is ideal for those looking for a compact scooter with an all round set of features, capable of a maximum speed of 6mph it can (also switchable to a maximum of 4mph for pavement use). It Äôs 

narrow width means that the scooter can still be used around many shops and will also allow the scooter to go through most standard doorways with ease.

The Roma Perrero is a Class 3 Mobility Scooter the Shoprider Perrero and comes with both front and rear lights as well as indicators.

The captain Äôs seat is height adjustable and can also slide backwards and forwards to easily find the ideal seating position giving you the maximum legroom. The backrest is also adjustable to ensure the utmost comfort and 

the whole seat swivels to allow the user easy access on and off the mobility scooter.

In addition to the padded seat and pneumatic tyres the Shoprider Perrero also features front and rear suspension giving this scooter an impressive smooth ride.

The Roma Perrero scooter comes as standard with 36ah batteries giving a maximum range of 25 miles, with a maximum user weight of 21 stone the Perrero gives you the speed, power and distance you would expect from a 

much larger mobility scooter.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","S888SLR","Roma Medical Ltd",," £2,699.00",1015," £1,015.00"," £1,015.00"," £1,015.00"," £1,015.00",1015,6,25,"21st 5lbs","Red, Black",4,"Pneumatic","N/A",34,5,56.5,23.75,50.5,"Standard","Yes","Yes","Yes","On","No",94,,"L",," £865.00","Y","N",,,,,,
,"Freerider Kensington","The Freerider Kensington S2 is a popular 8 mph mobility scooter, packed with features and at an affordable price. The popularity of the Kensington S2 is probably due to it Äôs proven classic design and robust specification. The 

Kensington has all of the features you are likely to need from a mobility scooter.

With  all round suspension, 12 inch pneumatic tyres and swivelling padded captain Äôs seat the ride quality is smooth even on uneven ground. The Freerider Kensington comes complete with two heavy duty 50ah batteries to 

allow an amazing maximum range of up to 35 miles between charges. The tiller is infinitely adjustable allowing you to find the mosty comfortable position for you, the seat is also fully adjustbale to enable the user to find a 

comfortable seating position.

The Freerider Kensington SII is availble in a selection of 2 colours, red and blue, with finishing touches like mirror, shopping basket and a full lighting package with indicators the Kensington S2 is a well built mobility scooter 

that Äôs also comfortable and superb value for money. 

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","SR510DXS2B","Freerider Ltd",," £1,895.00",1019," £1,019.00"," £1,019.00"," £1,019.00"," £1,019.00",1019,8,35,"25st 2lbs","Red, Blue",4,"Pneumatic","N/A",50,3.25,60,24.75,53.75,"Standard","Yes","Yes","Yes","On","No",101,,"L",," £997.00","Y","N",,,,,,
,"Drive Mercury Neo 8","The Drive Mercury Neo 8 is the top of the  range Mobility Scooter from Drive Medical, with a huge list of features this flagship 

scooter is luxury on wheels.

A comfortable ride is assured on Neo 8, with front suspension and 10 inch pnuematic tyres all designed to help you to enjoy a 

comfortable ride, the standard Captains chair on this mobility scooter swivels to allow you easy access to the scooter, fold up 

arm rests for more flexibility, the captains seat also has an adjustable headrest all designed to bring you the maximum comfort 

and support.

The safety features on the Neo 8 are what you would imagine from Drive Medical one of the UKs largest scooter suppliers. 

With lights at both the front and rear and indicators and robust bumbers front and rear it is a very flexible and safe mobility 

scooter, ready whenever you need it.

The Neo 8 scooter is capable of a top speed of 8 mph which means that you can us it on the road if you wish, the Neo 8 also 

has a 4 mph switch for pavement use so you can easily switch between 8moh and 4mph as the conditions suit.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and 

labour warranty including home engineer call out, and 3 months free scooter insurance all for the price you see!","MS042","Drive Medical Ltd",," £3,795.00",1079," £1,079.00"," £1,079.00"," £1,079.00"," £1,079.00",1079,8,20,"21st 5lbs","Red, Blue, Champagne",4,"Pneumatic","N/A",36,3,43.25,22.75,49.5,"Delta","Yes","Yes","Yes","On","No",92.5,,"L",," £910.00","Y","N",,,,,,
,"Rascal 650","The Electric Mobility Rascal 650 Mobility Scooter is a class 3 mobility scooter capable of a top speed of 6mph, packed full of 

technology to make this scooter feature packed and finished with classic styling.

You can tell comfort is important on the Rascal 650, it has a Captains seat which can be adjusted forward and backwards to 

ensure you are comfortable, the 5 position tiller ensures you can adjust the tiller to your particular taste. These features are 

further enhanced by 11 inch pneumatic tyres and a complete suspension system to ensure your journey is safe, enjoyable 

and smooth.

The Electric Mobility Rascal 650 benefits from an increased battery capacity, being fitted with two heavy duty 50 ah batteries 

as standard. This larger batteries allows a maximum range of 24 miles carrying a maximum passenger weight of 2.5 stone, a 

truly robust mobility scooter.

The Rascal 650 also benefits from a full lighting package, including indicators front and rear and an amazing 6 inch ground 

clearance.

Available in red and charcoal grey, the Electric Mobility Rascal 650, is equally at home on the road or the pavement, and is an 

exceptional example of a 6 mph mobiltiy scooter.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and 

labour warranty including home engineer call out, and 3 months free scooter insurance all for the price you see!","RASCAL 650","Electric Mobility Ltd",," £3,095.00",1080," £1,080.00"," £1,080.00"," £1,080.00"," £1,080.00",1080,6,24,"21st 5lbs","Red, Grey",4,"Pneumatic","N/A",50,5,62,25,50,"Standard","Yes","Yes","Yes","On","No",105,,"L",," £830.00","Y","N",,,,,,
,"Pride Celebrity X Sport","The Pride Celebrity X Sport is an 8 mph class 3 Mobility Scooter and is available exclusively from CareCo. The Pride X Sport has 

been one of the UKs most popular mobility scooters for a number of years. The Celebrity X Sport delivers all of the features and 

performance that you expect from a high-end 8mph scooter, in a more compact design and arguably better all round value.

The X Sport has all the features you expect from a brand leader like Pride Mobility, comfort and safety as always is kept at the 

forefront of the scooter design and construction. Boasting standard features such as large pnuematic tyres, captains seat and 

adjustable tiller the Celebrity X Sport is designed to fit to your specific requirements.

The Celebrity X Sport is built for a comfort ride with all round suspension to smooth our bumpy terrain, a fully adjustable captains 

seat to ensure you can adjust the scooter to fit you perfectly. The large pnuematic tyres also help to provide a smooth effortless 

journey and also gives an amazing 3.5 inch ground clearance. 

The list of features available on the Celebrity X Sport is amazing, a handbrake, wrap around delta tiller, lighting package and quick 

dissasembly are just a few standard options on the Prode Celebrity X Sport. The lighting package also includes indicators at the 

front and rear to ensure you can see and be seen when it starts to get dark.

The powerful 40 ah batteries give the scooter a 25 mile maximum range on a full charge, couple this with a maximum user weight of 

of 25 stone and you can see why the Pride Celebrity X Sport is so popular. Unlike many of the larger scooters available on the 

market today the Pride Celebrity X Sport can easily dismantle into managable sized parts to enable you to transport the scooter 

with you on  long journeys.

With its fine balance of sleek looks, safety and power the Pride Celebrity X Sport gives you the best of both worlds, top end 

capability and a compact user friendly size.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and 

labour warranty including home engineer call out, and 3 months free scooter insurance all for the price you see!","SCUK4401SPOBLK","Pride Mobility Ltd",," £4,195.00",1099," £1,099.00"," £1,099.00"," £1,099.00"," £1,099.00",1099,8,25,"25st","Black",4,"Pneumatic","N/A",40,3.25,57,24,46.75,"Delta","Yes","Yes","Yes","On","No",109,,"L"," £850.00"," £850.00","Y","N",,,,,,
,"Shoprider Cadiz","The Shoprider Cadiz Mobility Scooter is a luxurious 8mph, class 3, road legal scooter with a modern design, and many unique features. It is beautifully styled, powerful and has some excellent luxury features.

The Shoprider Cadiz mobility scooter has large 13 inch pneumatic tyres and a full suspension system to provide a smooth ride. Add this to an extremely comfortable, and fully adjustable Captain seat with headrest, fold up 

arm rests and the option to move the seat backwards and forwards you are assured to find the perfect position for a comfortable ride wherever your journey may take you.

The Shoprider Cadiz mobility scooter also has a speed switch to reduce the speed from 8mph to 4mph, so that it can be legally used on the pavement as well as the road. Powerful 34 ah batteries give you a maximum range 

of 20 miles between charges, and a very respectable maximum user weight of 25 stone. Adding to your comfort the Cadiz has 13 inch pnuematic wheels which gives you a smooth ride and an incredible 6 inch clearance, 

almost 3 times that of a standard travel scooter. 

The infinite adjustment available on the tiller ensures easy to reach controls make driving the Shoprider Cadiz very easy, the adjustable Delta tiller also allows the scooter to be driven using just one hand. With safety in mind, 

the Shoprider Cadiz scooter also comes with a fulll lighting package with front and rear lights, indicators, hazard warning lights and also a horn for your additional safety.

You begin to see why this is such a popular 8 mph scooter.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","S889SL","Roma Medical Ltd",," £2,999.00",1140," £1,140.00"," £1,140.00"," £1,140.00"," £1,140.00",1140,8,20,"25st 2lbs","Red, Black",4,"Pneumatic","N/A",36,6,59,25.25,51.25,"Delta","Yes","Yes","Yes","On","No",100,,"L",," £949.00","Y","N",,,,,,
