"Part Number","Long Description (used in Web & AMO)","Main Description (used in Web & AMO)","Manufacturer part code","Supplier Name","Supplier Number","R.R.P (£)","Website Price","eBay DMD price","eBay CareCo price","Amazon price","Brochure price","DMW web price","Colours","Chair Height (cm)","Chair Width (cm)","Chair Depth (cm)","Seat Height (cm)","Seat Width (cm)","Seat Depth (cm)","Maximum User Weight (stones)","Footstool Height","Footstool Width","Footstool Depth","Dual/Single Motor","Material (Fabric, Leather, Faux, PVC)","In-built Battery Back-Up (Battery not included)","Battery Backup Unit required","Web Weight (kg)","Shipping Weight","Box Length (cm)","Box Width (cm)","Box Height (cm)","Shipping Size (S,L)","Cost Price","Engineered Delivery","Vatable",,,,"Product Category"
"RR01001","Riva Faux Leather","CareCo is proud to present to you the Riva electric riser recliner chair, upholstered in faux leather this electric recliner chair is designed for your comfort and packed with features at amazing value.

The Riva recliner is built to exceptionally high standards, a single motor chair with a high quality smooth and quiet operation.

The simple to use controller allows you to relax with ease at the touch of a button into a snooze position, or and will also gently lift you into a standing position. The Riva Recliner has a stylish design and is upholstered in faux leather with 2 colour options available; Black and Brown.

The Riva Riser Recliner can accomodate a maximum user weight of 23 stone. 

What is Faux leather? Faux leather is a fabric that looks like leather, but is actually made from other materials.

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at the same time.

With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer call out, all for the price you see!","RIV001 - Brown
RIV002 - Black","Julien Bowen",,"£799.00",269.99,"£269.99","£269.99","£269.99","£269.99",269.99,"Black, Brown",109,90,84.5,49.5,48,57,23,"N/A","N/A","N/A","Single","Faux","N","Y",44,44,87,76,78,"L"," £149.00 ","Y",," £149.00 ","Y",,
"RR01002","Havana","CareCo is proud to present to you the Havana electric riser recliner chair, upholstered in faux leather this electric recliner chair is designed for your comfort and packed with features at 

amazing value.



The Havana recliner is built to exceptionally high standards, a single motor chair with a high quality smooth and quiet operation.



The simple to use controller allows you to relax with ease at the touch of a button into a snooze position, or and will also gently lift you into a standing position. The Havana Recliner has 

a stylish design and is upholstered in faux leather with 2 colour options available; Black and Brown.



The Havana Riser Recliner can accomodate a maximum user weight of 23 stone. 



What is Faux leather? Faux leather is a fabric that looks like leather, but is actually made from other materials.



There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at 

the same time.



With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of 

other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.



All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer 

call out, all for the price you see!","HAV101C - Brown
HAV102C - Black","Julien Bowen",,"£799.00",299,"£299.00","£299.00","£299.00","£299.00",299,"Pebble, Sand",109,90,84.5,49.5,48,57,23,"N/A","N/A","N/A","Single","Faux","N","Y",44,44,87,76,78,"L"," £169.00 ","Y",,,"Y",,
"RR01003","CareCo Chester","The CareCo Chester Rise Recline Armchair blends supreme comfort and suave sophistication in one superb piece of furniture. Upholstered in a tasteful Chennille Mink fabric, the Chester Rise Recliner Armchair is undeniably chic, reliably hard-wearing and assured of a long-lasting and much admired presence within any home.

The CareCo Chester Electric Rise and Recline chair can accomodate a maximum user weight of 18 stone. 

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at 

the same time.



With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of 

other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer call out, all for the price you see!","Becky","Global Furniture Alliance",,"£699.00",299,"£299.00","£299.00","£299.00","£299.00",299,"Mink, Faux Leather Burgundy",107,88.5,96.5,51,58,50,25,"N/A","N/A","N/A","Single","Fabric, Faux","N","Y",56,56,87,80,76.5,"L"," £235.00 ","Y",," £235.00 ","Y",,
"RR01004","Pride LC101","The Pride LC101 electric riser recliner chair is a popular fabric recliner chair and comes with a T-back style back. 

The Pride LC-101 will rise up to a standing position allowing you to get out of your chair easily and whenever suits you. The Pride LC-101 electric recliner will gently fall back to a seating position at the push of a button.

This Pride riser recliner chair is fitted with a smooth and quiet motor and comes in a choice of 5 beautiful colours; Oatmeal, Burgundy, Almond, Green and Aqua, you are sure to match your existing furnishings with this wide range of colours. 

The Pride LC101 Riser Recliner can accomodate a maximum user weight of 23 stone. 

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at 

the same time.



With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of 

other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer call out, all for the price you see!","UKLC101NALM - Almond
UKLC101NOATT - Oatmeal
UKLC101AQAT - Aqua
UKLC101SPRT - Spruce
UKLC101BURT - Burgundy","Pride",,"£799.00",335,"£335.00","£335.00","£335.00","£335.00",335,"Almond, Oatmeal, Aqua, Spruce, Burgundy",102,82,86,47,51,51,23,"N/A","N/A","N/A","Single","Fabric","Y","N",65,65,87,77,85,"L"," £250.00 ","Y",," £250.00 ","Y",,
"RR01005","Chicago","The Chicago is a fabric electric riser recliner chair from Restwell, a Drive Medical brand. The Chicago electric recliner chair is designed with luxurious comfort at amazing value.

The Chicago has been built to exceptional standards, powered by a single motor with a quality smoothand quiet operation you expect from the Restwell brand.

The simple to use hand 2 button controller allows you to relax with ease at the touch of a button into a snooze position, or alternatively it will gently lift you into a standing position. The Chicago has a stylish design and is upholstered in a Rembrandt fabric with 4 colour options available; Gold, Terracotta, Cream and Green.

The Chicago can accomodate a maximum user weight of 23 stone. The Chicago Riser Reclinerchair is also available in Anti Microbial PVC.

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at the same time.

With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer call out, all for the price you see!","CLR11","Drive Medical",,"£795.00",346,"£346.00","£346.00","£346.00","£346.00",346,"Terracotta, Gold, Green, Cream",108,83,93,48,50,52,23,"N/A","N/A","N/A","Single","Fabric","N","Y",55,55,,,,"L"," £275.00 ","Y",," £275.00 ","Y",,
"RR01006","Chicago Anti-Microbial PVC","The Chicago is a Anti Microbial PVC upholstered electric riser recliner chair from Restwell, a Drive Medical brand. The Chicago electric recliner chair is designed with luxurious comfort at 

amazing value.

The Chicago has been built to exceptional standards, powered by a single motor with a quality smoothand quiet operation you expect from the Restwell brand.

The simple to use hand 2 button controller allows you to relax with ease at the touch of a button into a snooze position, or alternatively it will gently lift you into a standing position. The Chicago has a stylish design and is upholstered in Anti Microbial PVC with 2 colour options available; Cobblestone and Black.

The Chicago can accomodate a maximum user weight of 23 stone. The Chicago Riser Reclinerchair is also available in Fabric.

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at the same time.

With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer 

call out, all for the price you see!","PVC-CLR11","Drive Medical",,"£825.00",499,"£499.00","£499.00","£499.00","£499.00",499,"Black, Cobblestone",108,83,93,48,50,52,23,"N/A","N/A","N/A","Single","PVC","N","Y",55,55,,,,"L"," £375.00 ","Y",," £375.00 ","Y",,
"RR01007","Pride C1 Petite","The Pride C1 Petite electric riser recliner chair is a compact fabric recliner chair perfect for the petite individual. 

The Pride C-1 petite will rise up to a standing position allowing you to get out of your chair easily and whenever suits you. The Pride C-1 Petite riser recliner will gently fall back to a seating position at the push of a button.
 
This Pride riser recliner chair is fitted with a smooth and quiet motor and comes in a choice of 5 beautiful colours; Oatmeal, Vino, Pine, Blue and Almond, you are sure to match your existing furnishings with this wide range of colours.
 
The Pride C1 Petite Riser Recliner can accomodate a maximum user weight of 18 stone. 

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at the same time.

With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of 

other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer call out, all for the price you see!","UKC1KDNALM - Almond
UKC1KDNOAT - Oatmeal
UKC1KDBUR - Burgundy
UKC1KDSPR - Spruce
UKC1KDAQA - Aqua","Pride",,"£825.00",368,"£368.00","£368.00","£368.00","£368.00",368,"Almond, Oatmeal, Burgundy, Spruce, Aqua",97,65,81,43,46,43,18,"N/A","N/A","N/A","Single","Fabric","Y","N",55,55,76,65,82,"L"," £265.00 ","Y",," £265.00 ","Y",,
"RR01008","Pride 805 Wall Hugger","The Pride 805 Riser Recliner is another fine example of a Pride electric recliner chair. It has a clever space-saving design which allows it to recline and lift with only a 5 inch gap from the 

wall.

The Pride LL-805 recliner will raise to a standing position to allow you to easily get out of the chair or gently sit you down into a comfortable position. The Pride LL805 wall hugger is 

unlike many electric recliners available today, it's clever and compact action moves in such a way that you can place the chair just 5 inches away from your wall.

This Pride riser recliner chair is fitted with a smooth and quiet motor and comes in a choice of 3 beautiful colours; Oatmeal, Vino and Almond, you are sure to match your existing 

furnishings with this wide range of colours. 

The Pride LL805 Electric Riser Recliner can accomodate a maximum user weight of 21 stone. 

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at the same time.
With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of 

other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer 

call out, all for the price you see!","UK805KDNALM - Almond
UK805KDNOAT - Oatmeal
UK805DKBUR - Burgundy","Pride",,"£995.00",395,"£395.00","£395.00","£395.00","£395.00",395,"Almond, Oatmeal, Burgundy",106,85.5,75.5,49.5,51,53,21,"N/A","N/A","N/A","Single","Fabric","Y","N",65,65,89,77,85,"L"," £290.00 ","Y",," £290.00 ","Y",,
"RR01009","Pride C11 Wingback","The Pride C11 Wingback riser recliner chair is a riser chair with a very distinguished appearance, unlike many recliners it comes with interchangeable wood panels ensuring a perfect 

match to your home decor.

This classic looking electric riser chair has a wing back design which has side supports for your back and head. A stylish button back finish to the backrest and side pocket for the 

controller.

The Pride C-11 Wingback is, as you would expect coming from Pride Medical an extremely well manufactured recliner chair and is fitted with a motor capable of lifting a user of up to 18 

stone. With simple to use controls its single button hand controller you will find that operating the chair is simple.

The Pride C11 rise and recline chair will lift you up to stand so you can get up out of the chair, when you are ready for comfort you can recline smoothly and effortlessly into a 

comfortable position. 

This Pride riser recliner chair is fitted with a smooth and quiet motor and comes in a choice of 5 beautiful colours; Oatmeal, Blue, Pine, Vino and Almond, you are sure to match your 

existing furnishings with this wide range of colours. 

The Pride C11 Electric Riser Recliner can accomodate a maximum user weight of 18 stone. 

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at 

the same time.



With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of 

other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer 

call out, all for the price you see!","UKC11KDNALM - Almond
UKC11KDNOAT - Oatmeal
UKC11KDAQA - Aqua
UKC11KDSPR - Spruce
UKC11KDBUR - Burgundy","Pride",,"£899.00",399,"£399.00","£399.00","£399.00","£399.00",399,"Almond, Oatmeal, Burgundy, Spruce, Aqua",98,71,81,42,47,49.5,18,"N/A","N/A","N/A","Single","Fabric","Y","N",65,65,85,76,82,"L"," £299.00 ","Y",," £299.00 ","Y",,
"RR01010","Cambridge","The new Cambridge riser recliner chair from Global Furniture Alliance is a riser chair with a comfortable and luxurious appearance.

Upholstered in a classic patterned fabric and fitted with an easy to use rise and recline mechanism, the Cambridge has been designed with relaxation and ease of use as a priority. With its traditional shape and neutral colour scheme its set to be a popular choice among our CareCo customers. 

The Cambridge Electric Riser Recliner can accomodate a maximum user weight of 21 stone. 

There are two types of electric recliner chair. A single motor recliner chair has one motor to move both the footrest and backrest, when you raise the footrest the backrest will recline at the same time.

With a dual motor riser recliner chair you can move the footrest and backrest independantly of each other, you can raise your feet whilst keeping your back straight or any number of 

other combinations you wish. The backrest and footrest each have their own motor to give you maximum comfort.

All our electric riser recliner chairs supplied include free courier delivery to your door, or opt for our engineered delivery, 12 months parts and labour warranty including home engineer 

call out, all for the price you see!","Cambridge","Global Furniture Alliance",,"£985.00",399,"£399.00","£399.00","£399.00","£399.00",399,"Biscuit Mosaic",109,81,90,49,50,50,24,"N/A","N/A","N/A","Single","Fabric","N","Y",50,50,83,95,77,"L"," £225.00 ","Y",," £225.00 ","Y",,
