"Part Number","Long Description (used in Web & AMO)","Main Description (used in Web & AMO)","Manufacturer part code","Supplier Name","Supplier Number","RRP","Website Price","eBay DMD price","eBay CareCo price","Amazon price","Brochure price","DMW web price","Size","Waist","Chest","Depth","Height","Width","Length","Colour","Web Weight (kg)","Shipping Weight","Shipping Size (S,L)","Cost Price","Engineered Delivery","Vatable",,,,"Product Category"
,"High Vision Crutch Walking Stick Bag","For added visibility our new 'Hi-Vis' crutch/walking stick bag for the wheelchair or scooter, with high visibility bands on the crutch holders and the front of the bag. Strong and spacious it features a zipped box lid and two removable side holders for your crutches or walking sticks.
 
Ripstop Fabric
 
Woven fabrics made out of nylon using a special reinforcing technique to minimise the risk of tears.
For added visibility our new 'Hi-Vis' crutch/walking stick bag for the wheelchair or scooter, with high visibility bands on the crutch holders and the front of the bag. Strong and spacious it features a zipped box lid and two removable side holders for your crutches or walking sticks.
 
Ripstop Fabric
 
Woven fabrics made out of nylon using a special reinforcing technique to minimise the risk of tears.","HVCWSBU28","Simplantex",," £42.00",33.06," £33.06"," £33.06"," £33.06"," £33.06",33.06,"Universal",,,"n/a","52cm","32cm","15cm","Black, Blue","N/A",,"S"," £22.80","y","N",,,,
,"Crutch Walking Stick Bag","Spacious bag for a wheelchair or scooter. Zipped box lid and side holders for you crutches or walking sticks.
 
Ripstop Fabric
 
Woven fabrics made out of nylon using a special reinforcing technique to minimise the risk of tears.","ECWSBU28","Simplantex",," £30.00",14.49," £14.49"," £14.49"," £14.49"," £14.49",14.49,"Universal",,,"n/a","46cm","32cm","11cm","Black","N/A",,"S"," £9.99","y","N",,,,
,"Deluxe Crutch Walking Stick Bag","Strong and spacious bag for a wheelchair or scooter. Features a zipped box lid and two side holders for your crutches or walking sticks.
 
Ripstop fabrics
 
Woven fabrics made out of nylon using a special reinforcing technique to reduce the risk of tears.","CWSVU28","Simplantex",," £39.00",30.31," £30.31"," £30.31"," £30.31"," £30.31",30.31,"Universal",,,"n/a","52cm","32cm","15cm","Black","N/A",,"S"," £20.90","Y","N",,,,
,"Leatherette Crutch Walking Stick Bag","Boasts all the features of our standard crutch walking stick bag but is offered in a stylish black leatherette with an attractive tartan lining. Strong and spacious bag for a wheelchair or scooter. Features a zipped box lid and two size holders for your crutches or walking sticks.","LECWSB12","Simplantex",," £39.00",30.31," £30.31"," £30.31"," £30.31"," £30.31",30.31,"Universal",,,"n/a","52cm","32CM","15CM","Black","N/A",,"S"," £20.90","Y","N",,,,
,"Drop Over Scooter Bag","A drop over scooter bag that simply slides over the rounded seat of many popular mini and small sized scooters, easy to use, strong and durable. Now Features stretchy neoprene sides for a better fit.
 
Ripstop Fabric
 
Woven fabrics made out of nylon using a special reinforcing technique to minimise the risk of tears.
A drop over scooter bag that simply slides over the rounded seat of many popular mini and small sized scooters, easy to use, strong and durable. Now Features stretchy neoprene sides for a better fit.
 
Ripstop Fabric
 
Woven fabrics made out of nylon using a special reinforcing technique to minimise the risk of tears.","DOSBU28","Simplantex",," £18.50",14.47," £14.47"," £14.47"," £14.47"," £14.47",14.47,"Universal",,,"n/a","36cm","45cm","8cm","Black","N/A",,"s"," £9.98","Y","N",,,,
,"Mini Mobility Bag","Strong, stylish and ideal for mini scooters, walkers, rollators, childrens wheelchairs or as a pannier bag. It has a front pocket which can be accessed easily from the side.","mmbu28","Simplantex",," £28.00",21.36," £21.36"," £21.36"," £21.36"," £21.36",21.36,"Universal",,,"n/a","32cm","25cm","10cm","Black","N/A",,"s"," £14.73","Y","N",,,,
,"Mobility Bag","A strong, stylish and multipurpose bag, which secures around the seat of the scooter or powerchair using long, wide detachable braided straps. Alternatively attach it around the headrest of the scooter using, the frame of the rollator or the pushing handles of the wheelchair with the short, narrow straps.
  €¢Large lined main compartment with netted side pockets
 €¢Detachable carry strap and padded carry handles
 €¢Ringpull zips
 €¢Free mini bag Clips inside or outside of the mobility bag, can be secured to the side of the wheelchair or scooter or underneath the seat of your wheelchair.","MBU28","Simplantex",," £38.00",28.93," £28.93"," £28.93"," £28.93"," £28.93",28.93,"Universal",,,"n/a","42cm","36cm","14cm","Black","N/A",,"S"," £19.95","Y","N",,,,
,"Oxygen Bag","Heavy duty bag designed to carry an oxygen canister on a wheelchair or scooter. Features a front pocket to hold an oxygen mask.
 
Ripstop Fabric
 
Woven fabrics made out of nylon using a special reinforcing technique to minimise the risk of tears.","obu28","Simplantex",," £32.00",24.8," £24.80"," £24.80"," £24.80"," £24.80",24.8,"Universal",,,"n/a","59cm","N/A","N/A","Black","N/A",,"S"," £17.10","Y","N",,,,
,"Scooter Bag","UPGRADED FABRIC AND TRIMMINGS
 
Strong, durable bag designed to accommodate scooters with or without headrests. Features a spacious storage compartment and a box lid for easy access.
 
Ripstop Fabric
 
Woven fabrics made out of nylon using a special reinforcing technique to minimise the risk of tears.","DSBU28","Simplantex",," £22.50",16.53," £16.53"," £16.53"," £16.53"," £16.53",16.53,"Universal",,,"n/a","40cm","31cm","8CM","Black","N/A",,"S"," £11.40","Y","N",,,,
,"Scooter Basket and Liner Cover","Keep your shopping secure and dry. Removable fits most baskets.","SBLU51","Simplantex",," £14.00",11.02," £11.02"," £11.02"," £11.02"," £11.02",11.02,"Universal",,,"n/a","N/A","N/A","N/A","Navy","N/A",,"S"," £7.60","y","N",,,,
