"Part Number","Long Description (used in Web & AMO)","Main Description (used in Web & AMO)","Manufacturer part code","Supplier Name","Supplier Number","RRP","Website Price","eBay DMD price","eBay CareCo price","Amazon price","Brochure price","DMW web price","Max Speed (mph)","Max Range (miles)","Max User Weight (stone)","Colour","Number of wheels","Tyres (Solid/Pnuematicc)","Heaviest Part (kg)","Battery Size Ah","Ground clearance (inches)","Turning radius (inches)","Width (inches)","Length (inches)","Tiller Type","Suspension","Swivel Seat","Light","On/Off-board charging","Portable","Web Weight (kg)","Shipping Weight","Shipping Size (S,L)","Container Cost Price","One Cost Price","Engineered Delivery","Vatable",,,,"Product Category",,
,"Rascal Partner Deluxe","The Rascal Partner Deluxe Pavement Mobility Scooter is an affordable, robust, 

manoeuvrable 4mph mobility scooter for convenient indoor and outdoor use.  The Rascal 

Partner mobility scooter is of fixed frame construction and not designed to be fully 

dismantled for transportation, however it is compact enough to fit into some larger cars, 

people carriers and vans.

The Partner Deluxe boasts a 15 mile travel distance and can carry a maximum user weight 

of 17.5 stone, the comfortable seat has fold up arms to allow you to get on and off your 

Partner Deluxe scooter easier. 

The Rascal Partner Deluxe boasts many features you would expect to see on a far more 

expensive scooter, as standard it has, larger puncture proof 9 inch wheels with non marking 

tyres, a handy under seat shopping basket, adjustable tiller for the perfect position, finger 

control levers. 

All our scooters are supplied with batteries and a charger, and include free courier delivery 

to your door, 12 months parts and labour warranty including home engineer call out, and 3 

months free scooter insurance all for the price you see!","PARTNERD","Electric Mobility Ltd",," £1,595.00",499," £499.00"," £499.00"," £499.00"," £499.00",499,4,16,"17st 11lbs","Red, Blue",4,"Solid","N/A",24,2,71,24,44,"Standard","No","Yes","No","On","No",47.7,,"L",," £420.00","Y","N",,,,"Pavement Scooter","Website Image Link","Website Video Link"
,"Freerider Mayfair 4","The Freerider Mayfair 4 mobility scooter is an excellent all round scooter and is a popular scooter on the market today. It is extremely comfortable, practical and reliable. The Freerider Mayfair 4 is a stylish and powerful mobility 

scooter which is available in 2 distinctive colours, red or blue.

The Mayfair 4 controls are very easy to use, and the control tiller is multi positional to allow infinite adjustment. The comfortable Captain's seat is fully adjustable, having a swivel action, arms that fold up and the ability to slide 

it forwards, backwards and alter the height to ensure your complete comfort. These features combined with the large 10"" pneumatic tyres front and rear offer a very comfortable ride, the Mayfair 4 also comes wih front and rear 

lights and indicators for increased visibility and safety. 

The Freerider Mayfair 4 has a good sized basket on the front to help carry your shopping. As a standard feature, the Freerider Mayfair 4 comes with a full lighting set including indicators to allow you to travel in the dark in 

greater safety.

With a range of up to 25 miles, and a maximum user weight of 18 stone, the Freerider Mayfair 4 is a very capable mobility scooter, and has held it's position as popular mobility scooter.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","SR168-4","Freerider Ltd",," £999.00",670," £670.00"," £670.00"," £670.00"," £670.00",670,4,25,"18st","Red, Blue",4,"Pneumatic","N/A",34,3.25,57,22,48,"Standard","No","Yes","Yes","On","No",77,,"L",," £625.00","Y","N",,,,"Pavement Scooter",,
,"Roma Sovereign 4","The Shoprider Sovereign 4 has been the best-selling mobility scooter over the last decade and has proved to be a valuable companion for thousands of people.

The Shoprider Sovereign 4 really does everything that you would need from it. Its four wheels give you a great feeling of stability and the pneumatic tyres help to take to bumps out of your journey. The smooth forward and 

reverse controls are really easy to use and the brakes are automatic so you can really concentrate on going about your business without worry.

The Sovereign 4 has a comfortable swivel mid-back seat, the arms fold up to allow easy access to and from your scooter. This scooter also comes with lights front and rear as standard so that you can ride safely all through 

the year or even after dark.

With a maximum range of 20 miles and a user weight capacity of 21 stone, the Shoprider Sovereign 4 really is a very flexible scooter. It has shown exceptional reliability over the years and these are reasons why the Shoprider 

Sovereign has proved to be such a popular scooter .

The Shoprider Sovereign 4 mobility scooter is also available as a 3 wheel version.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","S888NR","Roma Medical Ltd",," £2,199.00",678," £678.00"," £678.00"," £678.00"," £678.00",678,4,20,"21st 5lbs","Red",4,"Pneumatic","N/A",34,3,45.25,23,49.25,"Standard","No","Yes","Yes","On","No",82,,"L",," £595.00","Y","N",,,,"Pavement Scooter",,
,"Drive Mercury Neo 4","The Drive Mercury Neo 4 mobility scooter is the entry-level, mid range addition to the Mercury range of mobility scooters.

The Neo 4 is a great all-round scooter and will carry a user of up to 21 stones for a maximum distance of 20 miles which means that the Neo 4 will give you flexibility for most needs and occasions.

The Drive Mercury Neo 4 has suspension to the front of the scooter which helps you to enjoy a more comfortable ride and with lights at both the front and rear it is a very flexible scooter for use whenever you need it.

With a top speed of 4mph the Neo 4 is nimble for its size, the standard seat swivels allowing you easy access on and off your scooter.

The Drive Mercury Neo 4 mobility scooter offers excellent all-round value as a 4mph scooter, within the Neo range of scooters you can choose to upgrade to the 6 mph, or even 8 mph the Neo mobility scooter if you wish! 

Take a look at the other Neo models on our website.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","MS040","Drive Medical Ltd",," £3,195.00",679," £679.00"," £679.00"," £679.00"," £679.00",679,4,20,"21st 5lbs","Blue, Red, Champagne",4,"Solid","N/A",36,3,43.25,22.75,49.5,"Standard","No","Yes","Yes","On","No",80,,"L",," £600.00","Y","N",,,,"Pavement Scooter",,
,"Pride Colt ES10","The Pride Mobility Colt ES 10 is the newest addition to the already successful Colt range of mobility scooters. This is a mid-range scooter, with a chunky yet stylish design looks ready for business.

Easily disassembled for transportation, the Colt ES 10 is larger than the majority of scooters that can be transported. However this makes it a giant in this area, being capable of travelling up to 16 miles between charges. It 

can also comfortably accommodate users weighing up to 25 stone at a speed of 4mph.

Standard features include a bright LED headlight enabling you to see and be seen, and large 10 Äù non-puncture tyres. Comfort is taken care of by a seat padded with viscoelastic foam inserts for support. The seat also swivels 

for ease of access to your scooter and the armrests fold up to make getting on and off your scooter as easy as possible.

The Pride Colt ES 10 is a great crossover scooter that can be transported, or left fully assembled as a 4 mph scooter. Available in two colours, metallic blue and red, the Colt ES 10 brings you a well designed scooter at a very 

fair price.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","S104UKSB1001","Pride Mobility Ltd",," £2,350.00",685," £685.00"," £685.00"," £685.00"," £685.00",685,4,15.5,"25st","Red, Blue",4,"Solid","N/A",27,2.75,52,22.5,47,"Standard","No","Yes","Yes","On","No",68.6,,"L",," £510.00","Y","N",,,,"Pavement Scooter",,
,"Sterling Sapphire 2","The Sterling Sapphire 2 is a good all round mobility scooter. It can be classed as a mid-range, 4 mph model, yet still retains its reputation as a top performing lightweight transportable mobility scooter.

The Sapphire 2 offers the flexibility of being able to take it apart for transport or storage, yet matches up to larger ""pavement"" style mobility scooters with an impressive range between charges of up to 19 miles. It also offers 

much greater leg room than rival transportable scooters, allowing the user to place their feet either side of the tiller.

The Sapphire 2 is still very user friendly to take apart. You can remove the seat, lift off the batteries, which remove separately to keep the weight of individual parts manageable, and remove the rear section if required. The 

Sapphire 2 Mobility Scooter offers a great combination of portability, and both use indoors and outdoors.

The manufacturer, Sunrise Medical, have 20 years of experience in the design of mobility scooters, and this is evident as the Sterling Sapphire 2 offers outstanding reliability, performance and comfort.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","SPSLSAPHIRE2","Sunrise Medical Ltd",," £1,850.00",779," £779.00"," £779.00"," £779.00"," £779.00",779,4,18.5,"23st 7lbs","Red, Blue",4,"Pneumatic","N/A",35,3.75,55,23.25,47.5,"Delta","No","Yes","Yes","Off","No",79,,"L",," £635.00","Y","N",,,,"Pavement Scooter",,
,"Pride Colt Plus","Pride Mobility introduce their latest mobility scooter, The new 2012 Colt Plus, the first of a new range of scooters from Pride.

The Pride Mobility Colt Plus is a 6 km/h (4mph) 4-Wheel mobility scooter, designed to combine style and function in a very cost effective package. The Pride Colt Plus is comfortable and 

robust, yet very easy to dismantle for car transportation. Pride have packed this mobility scooter full of useful features for every user.

More features have been added to ensure your comfort and add the style you expect from a Pride scooter. The Pride Mobility Colt Plus has exclusive lightweight, non-marking low profile 

wheels, offering ground clearance of 3 inches. A wraparound soft touch Delta tiller allows comfortable control of your scooter, and is easier to use for anyone with issues surrounding grip 

or less strength in their hands.

More standard essentials added is a full lighting system, including a high intensity headlight, rear brake lights and indicators. There is also a fully adjustable seat with padded inserts and a 

headrest to ensure you remain comfortable on your journey. Extra legroom is also on offer.

The Pride Mobility Colt Plus has a maximum user weight of 25 stone, and is capable of a range up to 20 miles on a full charge. 

With so many features as standard, the Pride Mobility Colt Plus is a fantastic example of style and comfort.
All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 

months free scooter insurance all for the price you see!","SC710UKVB1005","Pride Mobility Ltd",," £3,040.00",799," £799.00"," £799.00"," £799.00"," £799.00",799,4,15.5,"25st","Red, Blue",4,"Solid","N/A",34,2.25,54,22,47,"Delta","No","Yes","Yes","On","No",82.5,,"L",," £675.00","Y","N",,,,"Pavement Scooter",,
,"Roma Valencia","The Shoprider Valencia from Roma Medical is a great mobility scooter for those who are looking for a larger transportable scooter. It Äôs dimensions allow it to accommodate a larger person (up to 21 stone) and provide the user with a much improved ride quality over a standard travel scooter , which is further improved by the padded, high back seat and pneumatic tyres.

Of course this is a transportable scooter and the clever design makes it simple to lift in and out of your car. The two 34ah batteries are housed in individual packs, this allows the batteries to removed one at a time. The swivel seat is removable and then once the tiller has been folded flat, the rear section of the scooter is easily disconnected from the front. There are no wires to worry about and so reassembly is also very straight forward.

In addition to the swivel function, the padded seat can also be adjusted forwards and backwards, this coupled with the adjustable tiller, makes finding the optimum seating position very easy. The Shoprider Valencia is available in a chioce of two colours, red or blue.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the price you see!","GK10","Roma Medical Ltd",," £2,495.00",855," £855.00"," £855.00"," £855.00"," £855.00",855,4,20,"21st 5lbs","Red, Blue",4,"Pneumatic",25,34,3.5,52.25,23,46,"Standard","No","Yes","Yes","Off","Yes",75,,"L",," £739.00","Y","N",,,,"Pavement Scooter",,
,"Pride Colt Twin","The Pride Colt Twin Mobility Scooter is an excellent addition to the Colt range of mobility scooters.

The Pride Colt Twin offers you great comfort and performance but with the benefit of easy portability. The Colt Twin will disassemble quickly and easily so should you want to put it into the 

boot of your car, for instance, you can do this conveniently. This means that this mobility scooter is perfect for a trip directly from your home and any trips further afield which require it to 

be put into your car boot and then assembled when you reach your destination.

The other significant feature of the Colt Twin is that it has 4 wheels but configured in a 3-wheel design. This means that you will enjoy the stability of a 4 wheel scooter but you will also get 

the benefit of much improved manoeuvrability that this design gives you.

The Pride Colt Twin is beautifully finished off with a delta handle bar, low-profile tyres and feather touch controls making it a great choice for the all round mobility scooter user.

With so many features as standard, the Pride Mobility Colt Plus is a fantastic example of style and comfort.
All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 

months free scooter insurance all for the price you see!","SC712UKVB1002","Pride Mobility Ltd",," £3,100.00",895," £895.00"," £895.00"," £895.00"," £895.00",895,4,15.5,"25st","Red",4,"Solid","N/A",30,2.25,42,22,46,"Delta","No","Yes","Yes","On","No",82.1,,"L",," £675.00","Y","N",,,,"Pavement Scooter",,
,"Shoprider Sovereign 3","The Shoprider Sovereign 3 has been the best-selling mobility scooter over the last decade and has proved to be a valuable companion for thousands of people.

The Shoprider Sovereign 3 really does everything that you would need from it. Its four wheels give you a great feeling of stability and the pneumatic tyres help to take to bumps out of your journey. The smooth forward and 

reverse controls are really easy to use and the brakes are automatic so you can really concentrate on going about your business without worry.

The Sovereign 3 has a comfortable swivel mid-back seat, the arms fold up to allow easy access to and from your scooter. This scooter also comes with lights front and rear as standard so that you can ride safely all through 

the year or even after dark.

With a maximum range of 20 miles and a user weight capacity of 21 stone, the Shoprider Sovereign 4 really is a very flexible scooter. It has shown exceptional reliability over the years and these are reasons why the Shoprider 

Sovereign has proved to be such a popular scooter .

The Shoprider Sovereign 3 mobility scooter is also available as a 4 wheel version.

All our scooters are supplied with batteries and a charger, and include free courier delivery to your door, 12 months parts and labour warranty including home engineer call out, and 3 months free scooter insurance all for the 

price you see!","S778NR","Roma Medical Ltd",," £2,199.00",898," £898.00"," £898.00"," £898.00"," £898.00",898,4,20,"21st 5lbs","Red",4,"Pneumatic","N/A",34,3.5,39.5,23.6,45.25,"Standard","No","Yes","Yes","On","No",79,,"L",," £699.00","Y","N",,,,"Pavement Scooter",,
