"Manufacturer part code","Long Description (used in Web & AMO)","Website Image Link 1","Website Image Link 2","Website Image Link 3","Website Image Link 4","Website Image Link 5",,,
"HVCWSBU28","High Vision Crutch Walking Stick Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/high-vision-crutch-walking-stick-bag-HVCWSBU28.jpg",,,,,,,
"ECWSBU28","Crutch Walking Stick Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/crutch-walking-stick-bag-ECWSBU28.jpg",,,,,,,
"CWSVU28","Deluxe Crutch Walking Stick Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/deluxe-crutch-walking-stick-bag-CWSVU28.jpg",,,,,,,
"LECWSB12","Leatherette Crutch Walking Stick Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/leatherette-crutch-walking-stick-bag-LECWSB12.jpg",,,,,,,
"DOSBU28","Drop Over Scooter Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/drop-over-scooter-bag-DOSBU28.jpg",,,,,,,
"mmbu28","Mini Mobility Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/mini-mobility-bag-MMBU28.jpg",,,,,,,
"MBU28","Mobility Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/mobility-scooter-bag-MBU28.jpg",,,,,,,
"obu28","Oxygen Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/oxygen-bag-OBU28.jpg",,,,,,,
"DSBU28","Scooter Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/scooter-bag-DSBU28.jpg",,,,,,,
"SBLU51","Scooter Basket and Liner Cover","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/scooter-basket-liner-and-cover-SBLU51.jpg",,,,,,,
"P - MC","Posturerex - Multiway Cushion","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/posturetex-multiway-cushion-P-MC.jpg",,,,,,,
"DSITDH28 (Black) 29 (Chrome)","Deluxe Screw In Tax Disc Holder","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/screw-in-tax-disc-holder-DSITDH.jpg",,,,,,,
"MSF","Mobility Fleece","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/mobility-fleece-MSF.jpg",,,,,,,
"WCSF","Fleece Seat Pad","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/fleece-seat-pad-WCSF.jpg",,,,,,,
"RRA (Amber) RRR (Red) RRW (White)","Rectangular Reflectors","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/rectangular-reflectors-RR.jpg",,,,,,,
"RAT","Reflective Adhesive Tape","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/reflective-adhesive-tape-RAT.jpg",,,,,,,
"RW","Reflective Waistcoat","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/reflectifve-waistcoat-RW.jpg",,,,,,,
"SITDH","Screw In Tax Disc Holder","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/deluxe-screw-in-tax-holder-SITDH.jpg",,,,,,,
"SBRB","Sam Browne Reflective Belt","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/sam-browne-reflective-coat-SBRB.jpg",,,,,,,
"LBOU28","Saftey Strap","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/safety-strap-LBOU28.jpg",,,,,,,
"MWSH","Metal Crutch Walking Stick Holders","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/metal-crutch-walking-stick-holders-MWSH.jpg",,,,,,,
"MPC","Multipurpose Carrier","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/multi-purpose-carrier-MPC.jpg",,,,,,,
"MPCWP","Multipurpose Carrier With Wheel Pack","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/multipurpose-carrier-with-wheel-pack-MPCWP.jpg",,,,,,,
"SSSU","Simplantex Scooter Shopper","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/simplantex-scooter-shopper-SSSU.jpg",,,,,,,
"DSSP","Deluxe Scooter Starter Pack","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/deluxe-scooter-starter-pack-DSSP.jpg",,,,,,,
"ssp","Scooter Starter Pack","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/scooter-starter-pack-SSP.jpg",,,,,,,
"ALARM","Mobility Scooter Alarm","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/mobility-scooter-alarm-ALARM.jpg",,,,,,,
"RT5025","Mobility Scooter Tiller Security Bag","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/mobility-scooter-tiller-security-bag-rt5025.jpg",,,,,,,
