"Manufacturer part code","Long Description (used in Web & AMO)","Website Link 1","Website Link 2","Website Link 3","Website Link 4","Website Link 5","Website Link 6","Website Link 7","Website Link 8","Website Link 9","Website Link 10","Website Link 11",
"RIV001 - Brown
RIV002 - Black","Riva Faux Leather","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-05.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-06.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-07.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/riva-riser-recliner-08.jpg",,,,
"HAV101C - Brown
HAV102C - Black","Havana","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/havana-riser-recliner-01.jpg",,,,,,,,,,,
"Becky","CareCo Chester","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-05.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-06.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-07.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/careco-chester-riser-recliner-08.jpg",,,,
"UKLC101NALM - Almond
UKLC101NOATT - Oatmeal
UKLC101AQAT - Aqua
UKLC101SPRT - Spruce
UKLC101BURT - Burgundy","Pride LC101","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-lc101-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-lc101-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-lc101-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-lc101-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-lc101-riser-recliner-05.jpg",,,,,,,
"CLR11","Chicago","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/chicago-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/chicago-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/chicago-riser-recliner-03.jpg",,,,,,,,,
"PVC-CLR11","Chicago Anti-Microbial PVC","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/chicago-anti-microbial-pvc-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/chicago-anti-microbial-pvc-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/chicago-anti-microbial-pvc-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/chicago-anti-microbial-pvc-riser-recliner-04.jpg",,,,,,,,
"UKC1KDNALM - Almond
UKC1KDNOAT - Oatmeal
UKC1KDBUR - Burgundy
UKC1KDSPR - Spruce
UKC1KDAQA - Aqua","Pride C1 Petite","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c1-petite-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c1-petite-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c1-petite-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c1-petite-riser-recliner-04.jpg",,,,,,,,
"UK805KDNALM - Almond
UK805KDNOAT - Oatmeal
UK805DKBUR - Burgundy","Pride 805 Wall Hugger","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-805-wall-hugger-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-805-wall-hugger-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-805-wall-hugger-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-805-wall-hugger-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-805-wall-hugger-riser-recliner-05.jpg",,,,,,,
"UKC11KDNALM - Almond
UKC11KDNOAT - Oatmeal
UKC11KDAQA - Aqua
UKC11KDSPR - Spruce
UKC11KDBUR - Burgundy","Pride C11 Wingback","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c11-wingback-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c11-wingback-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c11-wingback-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c11-wingback-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c11-wingback-riser-recliner-05.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-c11-wingback-riser-recliner-06.jpg",,,,,,
"Cambridge","Cambridge","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cambridge-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cambridge-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cambridge-riser-recliner-03.jpg",,,,,,,,,
