"Product Id","Product Name","Var Id","Var Name","Var Value Id","Var Value","Old Price","New Price","Status"
"536402","Invacare Colibri","166699","Scooter Starter Pack","717679","Yes","66.99","79.99","-- Updated --"
"540986","Viper Mobility Scooter","170933","Scooter Starter Pack","734832","Yes","79.99","79.99","-- Updated --"
"538750","Van Os Travelux Tiempo","168501","Scooter Starter Pack","724400","Yes","66.99","79.99","-- Updated --"
"546564","Kymco K-Lite Mobility Scooter","173527","Scooter Starter Pack","747068","Yes","66.99","79.99","-- Updated --"
"540086","Shoprider 4x4 all terrain mobility scooter","169524","Scooter Starter Pack","730298","Yes","66.99","79.99","-- Updated --"
"540148","Shoprider Mikra","169557","Scooter Starter Pack","730435","Yes","66.99","79.99","-- Updated --"
"536744","Merlin Mobility Scooter","166921","Scooter Starter Pack","718818","Yes","59.99","79.99","-- Updated --"
"534927","Excel Entice 3","165470","Scooter Starter Pack","714315","Yes","66.99","79.99","-- Updated --"
"547145","Invacare Orion 3","173592","Scooter Starter Pack","747324","Yes","66.99","79.99","-- Updated --"
"536746","Kestrel Mobility Scooter","166926","Scooter Starter Pack","718834","Yes","59.99","79.99","-- Updated --"
"536747","Kingfisher Mobility Scooter","166932","Scooter Starter Pack","718851","Yes","66.99","79.99","-- Updated --"
"540987","Easy Rider Mobility Scooter","170939","Scooter Starter Pack","734849","Yes","66.99","79.99","-- Updated --"
"535666","Drive Scout Mini Travel Mobility Scooter","171959","Scooter Starter Pack","741769","Yes","66.99","79.99","-- Updated --"
"535667","Scout Mini 3 Wheel Travel Mobility Scooter","171983","Scooter Starter Pack","741840","Yes","66.99","79.99","-- Updated --"
"540324","Tiempo Rapide Suspension Mobility Scooter","170418","Scooter Starter Pack","730891","Yes","66.99","79.99","-- Updated --"
"534217","Pride Go Go Sport","165502","Scooter Starter Pack","714395","Yes","66.99","79.99","-- Updated --"
"534218","Pride Apex Rapid Mobility Scooter","165514","Scooter Starter Pack","714425","Yes","66.99","79.99","-- Updated --"
"534219","Liteway Balance 3 Plus Travel Mobility Scooter","165398","Scooter Starter Pack","714135","Yes","66.99","79.99","-- Updated --"
"534220","Roma Lyon Mobility Scooter","165534","Scooter Starter Pack","714475","Yes","66.99","79.99","-- Updated --"
