category_id,old_category_id,image
75285,22,Assembly Benches.jpg
75286,23,Cable Marking.jpg
75287,40,Cable Twist Machines.jpg
75288,26,Crimping Machine.jpg
75289,39,Cut Strip Terminate Machine.jpg
75290,27,Cutting Machine.jpg
75291,28,cut and strip machines.jpg
75292,24,Coaxial Stripping Machines.jpg
75293,25,Coiling and Stacking.jpg
75294,29,Ferrules and End Sleeves.jpg
75295,30,Fibre Optic Preperation.jpg
75296,38,Karl Enghoffer Terminals.jpg
75297,43,hotknifecuttingandheatsealingmachines.gif
75298,31,Hand Tools.jpg
75299,33,Prefeeder and Dereelers.jpg
75300,34,Production Aids.jpg
75301,41,Schleuniger PT26.jpg
75302,32,Solder Pots.jpg
75303,35,Stripping Machines.jpg
75304,36,Second User Solutions.jpg
75305,37,Screwdrivers.jpg
75306,42,stacker.jpg
