"Id","Product Name","Sale Price","Category","Tax Applied","Hidden"
"538354","10oz (300ml) PLA Cups","56.39","PAPER AND PLASTIC CUPS","Y","N"
"538275","10oz - 20oz Sip Through Lids - Black","28.49","DISPOSABLES","Y","N"
"538276","10oz - 20oz Sip Through Lids - Brown","28.49","DISPOSABLES","Y","N"
"538274","10oz - 20oz Sip Through Lids - White","28.49","DISPOSABLES","Y","N"
"538302","10oz Black S-Ripple Cups","43.31","PAPER AND PLASTIC CUPS","Y","N"
"538361","10oz Clear Plastic Cups - PP","44.39","PAPER AND PLASTIC CUPS","Y","N"
"538289","10oz Green Paper Cup","22.79","PAPER AND PLASTIC CUPS","Y","N"
"538327","10oz Lavazza Paper Cups","56.7","PAPER AND PLASTIC CUPS","Y","N"
"538268","10oz Spectra Double Wall Cup - Purple","37.61","PAPER AND PLASTIC CUPS","Y","N"
"538331","10oz Swirl Design Cups","22.79","PAPER AND PLASTIC CUPS","Y","N"
"538306","10oz Wavy Triple Wall Ripple Coffee Cup - Purple","43.31","PAPER AND PLASTIC CUPS","Y","N"
"538355","12oz (360ml) PLA Cups","59.99","PAPER AND PLASTIC CUPS","Y","N"
"538281","12oz Benders Milano Barrier Paper Cups","71.94","PAPER AND PLASTIC CUPS","Y","N"
"538284","12oz Biodegradable Coffee Cups","31.91","PAPER AND PLASTIC CUPS","Y","N"
"538303","12oz Black S Ripple Cups","45.59","PAPER AND PLASTIC CUPS","Y","N"
"538310","12oz Cafe Go Foam Cups","39.84","PAPER AND PLASTIC CUPS","Y","N"
"538362","12oz Clear Plastic Cups - PP","47.99","PAPER AND PLASTIC CUPS","Y","N"
"538264","12oz Kraft Ripple Cup","39.89","PAPER AND PLASTIC CUPS","Y","N"
"538328","12oz Lavazza Paper Cups","47.99","PAPER AND PLASTIC CUPS","Y","N"
"538290","12oz Magenta Paper Cup","26.39","PAPER AND PLASTIC CUPS","Y","N"
"538299","12oz Plain White Paper Cups","45.59","PAPER AND PLASTIC CUPS","Y","N"
"538322","12oz Soup Bowls With Lids","35.99","PAPER AND PLASTIC CUPS","Y","N"
"538269","12oz Spectra Double Wall Cup - Red","39.89","PAPER AND PLASTIC CUPS","Y","N"
"538332","12oz Swirl Design Cups","25.07","PAPER AND PLASTIC CUPS","Y","N"
"538307","12oz Wavy Triple Wall Ripple Coffee Cup - Rouge","45.59","PAPER AND PLASTIC CUPS","Y","N"
"538356","16oz (500ml) PLA Cups","71.99","PAPER AND PLASTIC CUPS","Y","N"
"538282","16oz Benders Milano Barrier Paper Cups","53.94","PAPER AND PLASTIC CUPS","Y","N"
"538285","16oz Biodegradable Coffee Cups","36.42","PAPER AND PLASTIC CUPS","Y","N"
"538304","16oz Black S Ripple Cups","51.29","PAPER AND PLASTIC CUPS","Y","N"
"538363","16oz Clear Plastic Cups - PP","59.99","PAPER AND PLASTIC CUPS","Y","N"
"538291","16oz Cyan Paper Cup","28.55","PAPER AND PLASTIC CUPS","Y","N"
"538265","16oz Kraft Ripple Cup","45.59","PAPER AND PLASTIC CUPS","Y","N"
"538300","16oz Plain White Paper Cups","62.34","PAPER AND PLASTIC CUPS","Y","N"
"538323","16oz Soup Bowls With Lids","39.59","PAPER AND PLASTIC CUPS","Y","N"
"538270","16oz Spectra Double Wall Cup - Brown","45.59","PAPER AND PLASTIC CUPS","Y","N"
"538333","16oz Swirl Design Cups","28.49","PAPER AND PLASTIC CUPS","Y","N"
"538308","16oz Wavy Triple Wall Ripple Coffee Cup - Mocha","51.29","PAPER AND PLASTIC CUPS","Y","N"
"513870","2 Cup Cafetiere Coffee Press","15.59","Caffe Prima Fresh Cafetiere Sachets","Y","N"
"538372","2 Cup Carry Tray","20.39","DISPOSABLES","Y","N"
"538357","20oz (600ml) PLA Cups","83.99","PAPER AND PLASTIC CUPS","Y","N"
"538292","20oz Brown Paper Cup","31.91","PAPER AND PLASTIC CUPS","Y","N"
"538366","20oz Clear Plastic Cups - PP","71.99","PAPER AND PLASTIC CUPS","Y","N"
"538266","20oz Kraft Ripple Cup","74.09","PAPER AND PLASTIC CUPS","Y","N"
"538353","2oz (50ml) PLA Cups","4.19","PAPER AND PLASTIC CUPS","Y","N"
"538397","4 Cup Cafetiere Coffee Press","15.59","Caffe Prima Fresh Cafetiere Sachets","Y","N"
"538373","4 Cup Carry Tray","20.39","DISPOSABLES","Y","N"
"538279","4oz Benders Milano Barrier Paper Cups","47.94","PAPER AND PLASTIC CUPS","Y","N"
"538313","4oz Lavazza Paper Cups","47.99","PAPER AND PLASTIC CUPS","Y","N"
"538297","4oz Plain White Paper Cups","19.37","PAPER AND PLASTIC CUPS","Y","N"
"538271","4oz Sip Through Lids - White","20.39","DISPOSABLES","Y","N"
"538329","4oz Swirl Design Cups","19.37","PAPER AND PLASTIC CUPS","Y","N"
"538286","4oz White Paper Cup","20.39","PAPER AND PLASTIC CUPS","Y","N"
"538280","8/9oz Benders Milano Barrier Paper Cups","71.94","PAPER AND PLASTIC CUPS","Y","N"
"538283","8oz Biodegradable Coffee Cups","28.49","PAPER AND PLASTIC CUPS","Y","N"
"538301","8oz Black S Ripple Cups","39.89","PAPER AND PLASTIC CUPS","Y","N"
"538309","8oz Cafe Go Foam Cups","27.3","PAPER AND PLASTIC CUPS","Y","N"
"538263","8oz Kraft Ripple Cup","34.19","PAPER AND PLASTIC CUPS","Y","N"
"538346","8oz Lavazza Paper Cups","0.00","PAPER AND PLASTIC CUPS","Y","N"
"538288","8oz Orange Paper Cup","20.51","PAPER AND PLASTIC CUPS","Y","N"
"538298","8oz Plain White Paper Cups","39.89","PAPER AND PLASTIC CUPS","Y","N"
"538391","8oz Sip Through Lids (Cafe Go)","28.74","DISPOSABLES","Y","N"
"538278","8oz Sip Through Lids - Black","27.35","DISPOSABLES","Y","N"
