Product Id (Don't Modify),Product Name,Added on (D-dd/mm/YY HH:MM:SS),Barcode (applicable only if variable combinations not used),Product Id,Model,Short Description,Product Keywords (will be used while searching for products in website),Is Hidden? (Y/N),Cost Price,Web Price,Weight,Reorder Quantity,Extra Shipping Cost,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N),Variable Stock Allowed? (Y/N) (Dont't Modify),Fixed Web Stock (applicable only if Variable Stock Allowed is 'N'),Preorder Allowed? (Y/N),Maximum number of times preorder will be allowed? (applicable only if Preorder is Y),In Stock Date (applicable only if preorder is Y)  (D-dd/mm/YY),Product Deposit %,Product deposit message (will be considered only if Product deposit is >0),Activate Buy link (Y/N),Activate Enquire link (Y/N),Heading to be shown for size chart (applicable only if size chart is managed),Show Variable in new row in product details page? (Y / N),Allow Stock Notification?,Hide Product when out of stock?,Allow ordering even if out of stock (Y/N)?,Allow free Delivery? (Y/N),Caption to be displayed for Qty,"Qty type (Normal,Dropdown)","Value to be displayed in dropdown box. Seperate using comma (,) (applicable only if qty type is Dropdown",Prefix to be used for Qty (applicable only if Qty type is Drop down box),Suffix to be used for Qty (applicable only if Qty type is Drop down box),Prefix for Normal price,Suffix for Normal price,Prefix for From price,Suffix for From price,Prefix for Special offer price,Suffix for Special offer price,Prefix for Discount,Suffix for Discount,Prefix for You Save Price,Suffix for You Save Price,Caption for No Price,Show Price Promise button in details page? (Y/N),Show Sale Icon (Y/N),Caption for sale icon (applicable only if Sale icon is Y),Show New Icon (Y/N),Caption for new icon (applicable only if New icon is Y),Variable Combination Image Allowed (Don't Modify),Unique Ids of Images from Image gallery. Seperate Id's using '=>' (applicable only if Variable Combination Image is 'N'. Already assigned Images which are not specified in this column will be unassigned automatically before saving the current id's,Variable Combination Price Allowed (Don't Modify),Allow Bulk Discount (Y/N),"Format (Qty1=>Price1,Qty2=>Price2) (applicable only if Variable combination price allowed is 'N')"
P-448307,Barista Championship Knock Box,D-06/04/2009 08:06:04,5060181190703,BYB,,Barista Championship Knock Box,"Barista championship knock box
Knock Box
Knockout Drawer
coffee knock box
Knockout Box
Coffee Drawer
Bumper Knock Box",N,0.00,42.99,0.00,0,0.00,43,%,0.00,Y,N,99997,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,212385,N,N,
P-63872,Benders Milano Barrier Paper Cups,D-06/04/2009 08:05:37,5060181190694,Benders,,Benders Milano Barrier Paper Cups,"paper cups
coffee cups
benders cups
benders milano paper cups
takeaway coffee cups
barrier cups
cups
8oz cup
12oz cup
16oz cup
Disposable cup
takeaway cup
coffee cup
take out cup",N,0.00,59.95,0.00,0,0.00,60,%,0.00,Y,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,Y,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,Black Friday Sale Item!,N,,N,27505,Y,Y,
P-495253,Black S-Ripple Cups,D-24/11/2010 16:31:33,5060181190502,,,Black S-Ripple Cups,"ripple cups
black ripple cups
coffee cups
s-ripple
paper cups
black cups
paper ripple cups
ripple coffee cups
8oz cup
10oz cup
12oz cup
16oz cup",N,0.00,34.99,0.00,0,0.00,35,%,5.00,Y,N,4294965879,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,NEW 10OZ SIZE NOW IN STOCK,N,271454,Y,Y,
P-489970,Blendtec ABC Commercial Blender,D-16/02/2010 20:04:06,5060181190697,,Blendtec,Blendtec ABC Commercial Blender,"blendtec blenders
blendtec abc
blendtec q series
abc blendtec
ktech abc
ktech blender
abc blender",N,0.00,1099.99,0.00,0,0.00,1100,Exact,849.99,Y,N,499965,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,Y,BEST SELLER,N,NEW TO GARRAWAYS - THE BLENDTEC ABC - PRE ORDER NOW - STOCK COMING THIS MONTH,N,220664,N,N,
P-535820,Blendtec ABC Commercial Blender Summer Deal,D-30/06/2014 14:02:09,,,Blendtec,Blendtec ABC Commercial Blender Summer Deal,"ABC Blender
Commercial Blender
Blender
Blendtec blender
blendtec
summer deal 
blendtec deal",Y,0.00,979.49,0.00,0,0.00,979,%,0.00,Y,N,150,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,318778,N,N,
P-354751,Blendtec Clear Jug,D-06/04/2009 08:05:31,5060181190533,Blendtec,,Blendtec Clear Jug,"blender jugs
blendtec
standard blendtec jug
standard jug
Blendtec standard jug
blendtec clear jug
blendtec clear standard jug",N,0.00,69.49,0.00,0,0.00,69,%,0.00,Y,N,4950,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,321050,N,Y,"2=>69.49,4=>68.49,9=>67.99,19=>65.00,49=>62.99"
P-513935,Blendtec Motor Enclosure,D-20/04/2011 16:11:19,5060181190691,,,Blendtec Motor Enclosure,"BLENDTEC
BLENDTEC MOTOR ENCLOSURE
BLENDTEC MOTOR
BLENDTEC SOUND ENCLOSURE
BLENDTEC Q SERIES
BLENDTEC SPACESAVER",N,0.00,149.99,0.00,0,0.00,150,%,0.00,Y,N,500000,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,277942=>277943,N,N,
P-535872,Blendtec Non-Dairy J2 Jugs & Lids,D-08/07/2014 11:04:07,,,,Blendtec Non-Dairy J2 Jugs & Lids,"Blendtec jug
jug
blender jug
jug and lid
Non-Dairy
yellow jug",N,0.00,79.49,0.00,0,0.00,79,%,0.00,Y,N,4997,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,Blendtec Non-Dairy Jugs - Perfect colour for easy identification and avoidance of cross contamination,N,318894,N,Y,"5=>76.49,10=>73.49"
P-329349,Blendtec Q Series Commercial Blender,D-06/04/2009 08:05:50,5060181190691,Blendtec,,Blendtec Q Series Commercial Blender,"blendtec
Blendtec blender
q series blender
blendtec q series
smoothie blender
ktech blender
ktech q series",N,0.00,899.99,0.00,0,0.00,900,Exact,799.99,Y,N,499861,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy Now...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,235824=>235825,N,N,
P-535055,Blendtec Rapid Rinser,D-03/03/2014 11:48:22,,,,Blendtec Rapid Rinser,"Blendtec
Blendted rinsing
Rapid Rinse Station
Blendtec rapid rinse station
Rapid rinser
rinser
Jug cleaner
Jug rinser",N,0.00,209.99,0.00,0,0.00,210,Exact,179.99,Y,N,29,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,317209,N,N,
