"name","description","mainimage","priceGBP","colour","finish","size","supplierName"
"Elico Spangly Lycra Skull Cap Covers","Made from stretch Lycra these skull covers ensure that you will not be missed! In two fabulous colour ways guaranteed to appeal to all pony-mad girls, whatever their age.","shopimages/products/normal/Elico-Pink-Ice-Chip-Lycra.jpg",10.17,"Pink Ice Chip,Purple Icicle",,,"Jenkinsons"
"Equine First Aid Kits","These economically priced Equestrian First Aid Kits from Elico are each packed in a green plastic carrying case, printed with a white cross and First Aid lettering, and have an external contents label. Small kit contains: £24.95 - Animalintex Poultice, Veterinary Thermometer, Skintact Low Adherent Dressing, Hoof Pick, Iodine Solution, Germijelly and Herbal Dusting Powder. Large kit contains: £37.75 - Animalintex Poultice, Veterinary Thermometer, Cotton Wool Roll, Equiwrap Cohesive Bandage, Iodine Solution, germijelly, herbal Dusting Powder, 2 Skintact Low Adehernet Dressings.","shopimages/products/normal/ElicoFirstAidKits.jpg",21.23,,,"Small,Large","Jenkinsons"
"Wet & Dry Comb by Elico","The strong semi-flexible handle of the Wet&Dry comb is set with rounded stainless steel pins that can be thoroughtly washed after use, leaving the comb clean for the next time you need it.","shopimages/products/normal/ElicoWetAndDryComb.jpg",2.34,,,,"Jenkinsons"
"Shires 'Typhoon' combo turnout rug","The Shires Typhoon Combo turnout rug has a 1200 denier ripstop, breathable, waterproof nylon outer with 400gm poly filling and a breathable lining. The Typhoon has no back seam, and features include leg gussets, crossover circingles, legstraps, and twin front breaststraps.","shopimages/products/normal/Typhooncombo.jpg",85.06,,,"5'6"",5'9"",6',6'3"",6'6"",6'9"",7',7'3""","Jenkinsons"
"Shires Chest Expander for rugs","The Shires Chest Expander is a simple, effective way of adding a few inches to the chest of any horse rug. By simply inserting this panel between the 2 fastenings of the chest, an extra 6 inches or so can be added to the overall fitting across the front of most horse rugs.","shopimages/products/normal/RugChestExpander.jpg",10,,,,"Jenkinsons"
"Shires Maxi-Flow Combination Fly Rug","Designed specifically for the Summer months, the Shires Maxi-Flow Fly Combo Rug is made from a durable and cool mesh fabric which also keeps the flies at bay. With circingles covering a wide belly flap, shoulder gussets, leg straps, twin chest straps, and a satin chest lining, the Maxi-Flow fly rug has been designed especially for the summer months to offer superb protection from flying and biting insects.",,34.74,,,"5',5'3"",5'6"",5'9"",6',6'3"",6'6"",6'9"",7'","Jenkinsons"
"Shires Summer Typhoon Turnout Rug","The Shires Summer Typhoon turnout rug has a 1200 denier breathable, waterproof  'Shiretex' ripstop outer, and is the perfect lightweight rug for summer turnout. Made to the same spec as the Shires Winter Typhoon, but with a cool and comfortable cotton lining instead of the polyster filling that is needed for winter turnout.","shopimages/products/normal/Summer-Typoon-navyred.jpg",50.39,"Navy Check",,"5'3"",5'6"",5'9"",6',6'3"",6'6"",6'9"",7'","Jenkinsons"
"Red Rum Soothing Rinse","RED RUM Soothing Rinse is one our MUST HAVE products. We're never without a bottle in the horse box, and use it for rinsing our horses after hacking out and shows, when they are both a bit sweaty. We also keep a bottle in the tack room next to the tap and use it after every ride out, as it is quick and simple to use, as there is no need to rinse out after use. Containing Witch Hazel and Arnica, this is the ideal way to cool a tired horse after exercise, soothe tired limbs and reduce swelling. It also also removes sweat, dirt and deodorizes the coat leaving a fresh cucumber fragrance.  Simply add 30ml to a bucket of water and sponge over the horse or pony and either leave to dry or squeegie off with a sweat scraper. With the added benefit of being NO-RINSE.  The soothing rinse seemed to be a hit with the horses, especially after an intense ride. They almost appeared to calm down and enjoy it. Can be used on Horses, ponies and donkeys. ",,3.19,,,,
"Red Rum Sheath Cleaner","Red Rum Sheath Cleaner with Mint. Deodorizes and freshens. Removes grease and deposits to protect against bacterial and fungal infections. Deodorizes and freshens Can also be used around the teat areas of mares to remove waxy deposits.",,2.98,,,,
"Red Rum Whitener Spray","Red Rum Whitener Spray for horses, ponies and donkeys. An effective spray which removes stains and neutralizes yellowing to give a startling brilliance to the coat. Another necessity for the show ring! Not only will the Whitener Spray help to whiten greys and white horses, it really brightens the white markings on the bays and darker horses. Is there some unwritten rule that after a bath the one white sock a horse has ends up knee deep in the muck? Not to worry any longer! Brush off the dirt and spray away with the Red Rum Whitener Spray - good as new! 500ml spray bottle.",,4.21,,,,
