"Product Id","Product Name","Short Description","Main Description Filename","Tab Titles"
"549077","Twinings Strawberry & Raspberry Infusion Tea","A feel-good summer blend. A harmony of sweet strawberry notes and tangy raspberry aromas.","549077_maindesc.txt",""
"536811","Lavazza Pavement Sign","Eye-Catching Enticing Lavazza Pavement Sign","536811_maindesc.txt",""
"539447","Glaceau Smart Water 24 x 600ml","Glaceau Smart Water Is Made By Using Evaporated Spring Water Then We Condense The Vapour And Then Add Just The Right Amount Of Electrolytes Before Bottling.","539447_maindesc.txt",""
"536808","Lavazza White Sugar Sticks x 1000","1000 Lavazza White Sugar Sticks - New Bigger Case","536808_maindesc.txt",""
"536815","Lavazza Cappuccino Cups & Saucers x 6","Set Of 6 Lavazza Porcelain Cappuccino Cups And Saucers","536815_maindesc.txt",""
"536816","Lavazza Colazione Cups & Saucers x 6","Set Of 6 Lavazza Colazione Cups And Saucers","536816_maindesc.txt",""
"538208","PureGusto Signature - Great Taste Award - ESE Pods x 100","Signature Is Exactly That, Our Highest Quality Blend, The Staple Of Which We Rank Other Coffee's Against. Our Own Personal Sign Off To The Coffee Making World!","538208_maindesc.txt",""
"536974","PureGusto Arabica Origins Variety Pack ESE Coffee Pods x 100","PureGusto Origin Selection Pack Gives You The Option Of A Range Of Flavours To Suit Your tastes Our most premium coffees from 4 different origins..","536974_maindesc.txt",""
"536975","Zuma Dark FairTrade Hot Chocolate Powder 2 KG","Blended Especially Using The Finest Cocoas From Around The Worlds From An Indulgently Creamy And Rich Hot Chocolate","536975_maindesc.txt",""
"537265","XMAS Pattern Double Wall Christmas Cups - Cancer Research Support","Grab Hold Of All Things Festive This Wonderfully Joyful Christmas Design Paper Cup - Double Walled For Extra Insulation On Those Colder Days Where A Hotter Drink Is A Real Must!","537265_maindesc.txt",""
"536976","Motta Latte Art Pen","Help Create The Perfect Latte Art, With This East To Use Pen.","536976_maindesc.txt",""
"536977","Motta Lattiera Deluxe Foaming Jug","Motta Lattiera Stainless Steel Milk Frothing Jug","536977_maindesc.txt",""
"536772","Classic Creem Choc 10 x 1 Kilo","Our Classic Creemchoc Is Great For Making The Perfect Hot Chocolate Drink! Creamy And Sweet And Fantastic Chocolate For The Price.","536772_maindesc.txt",""
"536774","Lavazza Crema Aroma Blue Coffee Beans 6KG","6 X 1 Kilo Case - Whole Bean Espresso Roast","536774_maindesc.txt",""
"538584","Aromo - SUMATRA - 62mm Senseo Compatible Coffee Pods","Aromo - Sumatra - 62mm Senseo Compatible Coffee Pods X 100 - Senseo ® Coffee Pods Machines","538584_maindesc.txt",""
