"Product Id","Bulk Id","Bulk Qty","Bulk Price","Combination Id"
"531666","1564238","4","4.40",""
"531666","1564239","8","4.25",""
"531666","1564240","12","4.10",""
"531666","1564241","36","3.99",""
"531666","1564242","60","3.80",""
"531579","1564246","4","6.49",""
"531579","1564247","12","5.99",""
"540296","1564250","5","1.25",""
"540296","1564251","10","1.15",""
"540296","1564252","25","1.00",""
"544257","1564253","8","4.88",""
"544257","1564254","16","4.75",""
"544257","1564255","64","4.50",""
"547334","1566865","5","2.89",""
"547334","1566866","10","2.79",""
"547334","1566867","20","2.49",""
"531965","1564256","8","3.99",""
"531965","1564257","16","3.89",""
"531965","1564258","24","3.79",""
"531965","1564259","40","3.60",""
"531965","1564260","80","3.49",""
"545991","1566384","8","4.90",""
"545991","1566385","16","4.75",""
"545991","1566386","24","4.65",""
"545991","1566387","40","4.50",""
"545991","1566388","80","4.25",""
"531660","1564261","8","3.99",""
"531660","1564262","16","3.89",""
"531660","1564263","24","3.79",""
"531660","1564264","40","3.60",""
"531660","1564265","80","3.49",""
"540948","1564276","8","3.99",""
"540948","1564277","16","3.89",""
"540948","1564278","24","3.79",""
"540948","1564279","40","3.60",""
"540948","1564280","80","3.49",""
"531970","1564281","8","2.99",""
"531970","1564282","16","2.89",""
"531970","1564283","24","2.79",""
"531970","1564284","40","2.69",""
"531970","1564285","80","2.50",""
"540953","1564286","8","2.99",""
"540953","1564287","16","2.89",""
"540953","1564288","24","2.79",""
"540953","1564289","40","2.60",""
"540953","1564290","80","2.49",""
"540952","1564291","8","3.99",""
"540952","1564292","16","3.89",""
"540952","1564293","24","3.79",""
"540952","1564294","40","3.60",""
"540952","1564295","80","3.49",""
"531969","1564296","8","3.99",""
"531969","1564297","16","3.89",""
"531969","1564298","24","3.79",""
"531969","1564299","40","3.60",""
"531969","1564300","80","3.49",""
"540950","1564301","8","3.99",""
"540950","1564302","16","3.89",""
"540950","1564303","24","3.79",""
"540950","1564304","40","3.60",""
"540950","1564305","80","3.49",""
"540951","1564306","8","2.99",""
"540951","1564307","16","2.89",""
"540951","1564308","24","2.79",""
"540951","1564309","40","2.60",""
"540951","1564310","80","2.49",""
"540949","1564316","8","3.99",""
"540949","1564317","16","3.89",""
"540949","1564318","24","3.79",""
"540949","1564319","40","3.60",""
"540949","1564320","80","3.49",""
"545993","1566389","8","4.90",""
"545993","1566390","16","4.75",""
"545993","1566391","24","4.65",""
"545993","1566392","40","4.50",""
"545993","1566393","80","4.25",""
"531921","1564326","4","4.40",""
"531921","1564327","8","4.25",""
"531921","1564328","12","4.10",""
"531921","1564329","36","3.99",""
"531921","1564330","60","3.80",""
"531726","1564351","2","78.50",""
"531726","1564352","4","76.99",""
"531726","1564353","6","75.50",""
"531726","1566576","12","72.99",""
"531874","1564366","2","129.99",""
"538885","1564367","3","126.50",""
"538885","1564368","5","124.99",""
"538885","1566577","10","119.99",""
"538885","1566578","20","109.99",""
"535844","1564371","3","89.99",""
"535844","1564372","5","86.49",""
"532025","1564373","6","9.69",""
"532025","1564374","12","9.49",""
"532025","1564375","18","9.29",""
"532025","1564376","30","8.99",""
"532025","1564377","60","8.79",""
"532025","1564378","120","8.49",""
"532025","1564379","150","7.99",""
"531802","1564387","5","22.89",""
"531802","1564388","10","22.49",""
"531802","1564389","20","22.29",""
"531802","1567580","30","21.99",""
"531802","1567581","60","21.49",""
"531802","1567582","70","19.99",""
"531892","1564415","5","0.95",""
"531892","1564416","15","0.90",""
"531892","1564417","45","0.80",""
"531892","1564418","90","0.75",""
"531848","1564419","3","62.99",""
"531848","1564420","5","61.00",""
"531848","1564421","10","58.99",""
"531847","1564422","3","12.79",""
"531847","1564423","5","12.49",""
"531847","1564424","10","11.99",""
"531847","1564425","20","10.00",""
"531698","1564430","3","104.99",""
"531806","1564435","3","159.95",""
"531806","1566381","5","154.95",""
"531806","1566382","10","149.95",""
"539434","1564446","3","6.90",""
"539434","1564447","5","6.85",""
"539434","1564448","10","6.50",""
"539434","1564449","25","5.99",""
"531586","1564458","6","4.39",""
"531586","1564459","12","4.29",""
"531586","1564460","24","4.00",""
"535587","1564463","6","13.29",""
"535587","1564464","12","12.99",""
"535587","1564465","24","12.75",""
"535587","1564466","36","12.29",""
"535587","1564467","60","11.99",""
"531762","1564468","5","6.20",""
"531762","1564469","10","5.99",""
"531762","1564470","20","5.85",""
"531580","1564471","3","4.90",""
"531580","1564472","5","4.75",""
"531580","1564473","10","4.50",""
"537088","1564480","4","31.99",""
"537088","1564481","12","29.99",""
"531705","1564482","4","23.50",""
"531657","1564484","3","32.99",""
"531657","1564485","5","30.00",""
"541160","1564486","3","6.25",""
"541160","1564487","5","6.15",""
