"Product Id","Bulk Id","Bulk Qty","Bulk Price","Combination Id"
"538133","1576781","5","38.99",""
"538133","1576782","10","36.99",""
"538133","1576783","20","34.99",""
"538133","1576784","60","29.99",""
"549082","1572277","5","20.49",""
"549079","1572278","5","23.00",""
"549078","1572279","5","22.00",""
"549080","1572280","5","19.00",""
"549081","1572281","5","21.00",""
"531666","1572283","16","4.65",""
"531666","1572284","24","4.50",""
"531666","1576723","36","4.25",""
"531666","1576724","60","3.99",""
"548593","1572287","5","13.79",""
"548593","1572288","15","13.49",""
"531579","1572289","4","6.79",""
"531579","1572290","8","6.49",""
"531579","1576778","12","5.99",""
"540296","1572291","5","1.25",""
"540296","1572292","10","1.20",""
"540296","1572293","25","1.10",""
"540296","1576787","100","0.99",""
"544257","1572294","8","4.88",""
"544257","1572295","16","4.75",""
"544257","1572296","64","4.50",""
"550170","1574449","3","33.99",""
"550170","1574450","5","32.99",""
"550170","1574451","10","31.99",""
"547334","1572297","5","2.89",""
"547334","1572298","10","2.79",""
"547334","1572299","20","2.49",""
"531965","1572300","8","2.99",""
"531965","1572301","16","2.89",""
"531965","1572302","24","2.79",""
"531965","1572303","40","2.69",""
"545991","1572305","6","3.89",""
"545991","1572306","12","3.79",""
"545991","1572307","24","3.65",""
"545991","1572308","36","3.49",""
"545991","1572309","60","3.29",""
"531970","1572310","8","3.39",""
"531970","1572311","16","3.29",""
"531970","1572312","24","3.15",""
"531970","1572313","40","2.99",""
"531660","1572315","8","2.99",""
"531660","1572316","16","2.89",""
"531660","1572317","24","2.79",""
"531660","1572318","40","2.60",""
"531660","1572319","80","2.49",""
"548558","1572320","4","22.79",""
"548558","1572321","8","22.49",""
"548558","1572322","12","21.99",""
"548558","1572323","24","21.49",""
"548558","1572324","60","20.99",""
"548558","1572325","120","19.99",""
"540948","1572326","8","2.99",""
"540948","1572327","16","2.89",""
"540948","1572328","24","2.79",""
"540948","1572329","40","2.60",""
"540948","1572330","80","2.49",""
"548557","1572331","3","12.79",""
"548557","1572332","6","12.49",""
"548557","1572333","12","11.99",""
"548557","1572334","24","11.49",""
"548557","1572335","60","10.99",""
"548557","1572336","120","9.99",""
"540953","1572337","8","2.99",""
"540953","1572338","16","2.89",""
