Old Category Id,New Category Id,Parent Id
44227,77556,42973
44542,77557,42975
44594,77558,42972
44595,77559,42972
45549,77560,42972
45559,77561,42974
45581,77562,42973
42962,77563,76493
42963,77564,76493
42964,77565,76493
42965,77566,76493
42967,77567,76493
42969,77568,76464
42970,77569,76464
42971,77570,76464
42972,77571,76464
42973,77572,76465
42974,77573,76467
42975,77574,76467
42976,77575,76468
42977,77576,76468
42978,77577,76468
42979,77578,76464
42984,77579,37980
42985,77580,37980
43063,77581,42972
43406,77582,76467
43407,77583,76468
43413,77584,76468
43434,77585,42962
37980,77586,76464
38693,77587,42967
40973,77588,42975
37899,77589,42970
31341,77590,42975
31340,77591,76468
19173,77592,6535
19171,77593,6535
19172,77594,6535
6545,77595,42973
6546,77596,42976
6547,77597,43406
6548,77598,42974
6550,77599,42978
6551,77600,42979
6553,77601,42972
6554,77602,42971
6556,77603,42979
6557,77604,42969
7777,77605,42967
8076,77606,42977
8077,77607,42969
8273,77608,6539
8274,77609,6539
8275,77610,6539
8296,77611,42969
8371,77612,42977
12063,77613,42963
18519,77614,76468
18520,77615,6539
18521,77616,42978
18522,77617,42962
18794,77618,42964
19078,77619,72406
19079,77620,43407
6544,77621,42969
72115,77622,42962
72116,77623,42962
6541,77624,42967
6536,77625,42963
6537,77626,42963
6538,77627,42964
6539,77628,76493
6540,77629,42965
6535,77630,42964
5258,77631,0
5251,77632,0
45663,77633,42976
45867,77634,6535
46123,77635,42969
46314,77636,42978
72406,77637,76466
72407,77638,72406
72736,77639,43413
72737,77640,43413
72891,77641,5258
74364,77642,42976
73793,77643,37899
73794,77644,37899
73795,77645,37899
74347,77646,42969
75672,77647,76464
75673,77648,75672
75674,77649,75672
75675,77650,76466
76464,77651,0
76465,77652,0
76466,77653,0
76467,77654,0
76468,77655,0
76469,77656,0
76493,77657,76464
76699,77658,42972
