Old Category Id,New Category Id,Parent Id
77598,83073,77573
77624,83074,77632
77625,83075,77564
77590,83076,77574
77591,83077,77574
77592,83078,77630
77593,83079,77630
77594,83080,77630
77595,83081,77572
77596,83082,77575
77597,83083,77582
77568,83084,77651
77570,83085,77651
77571,83086,77651
77572,83087,77652
77573,83088,77654
77574,83089,77654
77575,83090,77655
77576,83091,77655
77577,83092,77655
77578,83093,77651
77580,83094,77586
77582,83095,77654
77583,83096,77655
77584,83097,77655
77585,83098,77563
77645,83099,77654
77644,83100,77568
77643,83101,77572
78539,83102,78109
77602,83103,77570
77604,83104,77568
77605,83105,77632
77606,83106,77576
77607,83107,77568
77626,83108,77564
77627,83109,77632
77628,83110,77632
79081,83111,79111
79966,83112,77632
77620,83113,77583
77621,83114,77568
77651,83115,0
77652,83116,0
77653,83117,0
77654,83118,0
77655,83119,0
77556,83120,79111
78079,83121,77651
77609,83122,77628
77610,83123,77628
77608,83124,77628
77612,83125,77576
77614,83126,77655
77615,83127,77628
77616,83128,77577
77617,83129,77563
77618,83130,77632
77619,83131,77637
77557,83132,77574
77559,83133,77571
77561,83134,77573
77562,83135,79111
77563,83136,77632
79226,83137,79224
79225,83138,79224
77586,83139,77651
77587,83140,77632
77588,83141,77574
77589,83142,0
77630,83143,77632
77632,83144,0
77633,83145,77575
77634,83146,77630
77635,83147,77568
77636,83148,77577
77637,83149,77653
77638,83150,77637
77639,83151,77584
77640,83152,77584
77564,83153,77632
80511,83154,0
77599,83155,77577
77600,83156,77578
78109,83157,77651
78111,83158,78109
78112,83159,78109
78113,83160,78109
78569,83161,77582
78577,83162,77582
78811,83163,78109
78820,83164,77568
79024,83165,77637
79025,83166,77576
79111,83167,77652
79112,83168,77572
79158,83169,77563
79166,83170,0
79224,83171,77654
79238,83172,0
79241,83173,77654
79411,83174,77574
79430,83175,0
79432,83176,78079
79624,83177,77582
79641,83178,77577
80877,83179,77582
82352,83180,77573
82159,83181,77562
82362,83182,77637
82473,83183,77637
82474,83184,77574
82475,83185,77576
