Old Dir Id,New Dir Id,Parent Id
40644,41164,0
41015,41165,0
41035,41166,40360
41093,41167,40385
41036,41168,40367
41078,41169,40346
40975,41170,0
41091,41171,0
41090,41172,40342
41086,41173,40346
41082,41174,41080
41081,41175,41080
41080,41176,40963
41083,41177,41080
41017,41178,0
40947,41179,0
40945,41180,0
40335,41181,0
40336,41182,0
40339,41183,0
40340,41184,0
40341,41185,0
40342,41186,0
40343,41187,0
40344,41188,0
40345,41189,0
40346,41190,0
40347,41191,0
40348,41192,0
40349,41193,0
40350,41194,0
40351,41195,0
40352,41196,0
40353,41197,0
40358,41198,0
40359,41199,40358
40360,41200,40359
40361,41201,40358
40362,41202,40358
40364,41203,40358
40365,41204,40335
40366,41205,40335
40367,41206,0
40368,41207,0
40369,41208,0
40370,41209,0
40372,41210,40358
40373,41211,40349
40374,41212,0
40375,41213,0
40376,41214,40375
40377,41215,0
40384,41216,40353
40385,41217,40359
40386,41218,0
40387,41219,40353
40388,41220,0
40398,41221,40340
40399,41222,0
40410,41223,0
40536,41224,40373
40556,41225,40410
40564,41226,40556
40574,41227,40353
40707,41228,40352
40904,41229,40341
40939,41230,40342
40963,41231,0
40965,41232,40963
41163,41233,40410
