Old Img Id,New Img Id
334902,347179
331399,347180
341507,347181
335250,347182
341515,347183
334213,347184
334211,347185
334212,347186
334896,347187
341534,347188
341486,347189
323961,347190
324232,347191
324233,347192
335415,347193
335792,347194
323795,347195
341413,347196
341481,347197
341398,347198
344533,347199
335539,347200
341395,347201
341394,347202
341393,347203
341389,347204
341390,347205
341391,347206
341388,347207
341629,347208
336036,347209
344707,347210
323960,347211
344614,347212
341485,347213
341400,347214
341493,347215
341492,347216
341523,347217
336043,347218
336044,347219
336045,347220
336046,347221
336041,347222
336042,347223
336040,347224
336038,347225
336039,347226
336037,347227
341625,347228
341626,347229
341627,347230
341628,347231
341401,347232
341484,347233
334084,347234
335591,347235
341414,347236
341482,347237
341458,347238
341459,347239
344706,347240
341536,347241
334445,347242
341386,347243
316829,347244
341392,347245
341543,347246
341544,347247
335661,347248
341416,347249
323798,347250
341385,347251
341506,347252
341505,347253
335781,347254
341412,347255
341405,347256
341387,347257
331400,347258
335457,347259
341435,347260
341418,347261
341419,347262
341428,347263
323799,347264
341410,347265
341508,347266
341397,347267
316791,347268
316792,347269
341424,347270
341425,347271
341483,347272
323971,347273
335418,347274
321911,347275
321910,347276
321867,347277
344512,347278
344535,347279
334345,347280
334116,347281
341489,347282
341488,347283
341487,347284
334118,347285
336246,347286
341415,347287
341509,347288
324171,347289
341420,347290
341426,347291
341417,347292
341432,347293
341431,347294
335417,347295
335416,347296
334112,347297
341510,347298
341421,347299
341422,347300
331206,347301
341490,347302
335766,347303
323962,347304
344708,347305
321854,347306
321858,347307
341411,347308
341409,347309
341408,347310
336266,347311
336243,347312
341533,347313
341531,347314
341343,347315
334080,347316
344532,347317
341404,347318
341535,347319
341540,347320
341537,347321
341538,347322
341539,347323
341427,347324
335779,347325
335770,347326
341340,347327
341423,347328
335806,347329
344187,347330
344515,347331
344516,347332
344517,347333
315952,347334
315951,347335
330984,347336
330988,347337
330997,347338
330998,347339
330999,347340
331000,347341
331001,347342
331002,347343
331007,347344
331008,347345
331009,347346
331010,347347
331011,347348
331012,347349
331295,347350
330784,347351
330739,347352
330740,347353
344511,347354
330736,347355
330737,347356
330738,347357
331296,347358
331427,347359
331428,347360
331430,347361
330746,347362
330747,347363
331108,347364
330885,347365
330886,347366
330887,347367
330888,347368
330889,347369
335901,347370
335900,347371
335898,347372
335899,347373
330944,347374
330945,347375
330947,347376
