Old Dir Id,New Dir Id,Parent Id
40644,40659,0
40335,40660,0
40336,40661,0
40339,40662,0
40340,40663,0
40341,40664,0
40342,40665,0
40343,40666,0
40344,40667,0
40345,40668,0
40346,40669,0
40347,40670,0
40348,40671,0
40349,40672,0
40350,40673,0
40351,40674,0
40352,40675,0
40353,40676,0
40358,40677,0
40359,40678,40358
40360,40679,40359
40361,40680,40358
40362,40681,40358
40364,40682,40358
40365,40683,40335
40366,40684,40335
40367,40685,0
40368,40686,0
40369,40687,0
40370,40688,0
40372,40689,40358
40373,40690,40349
40374,40691,0
40375,40692,0
40376,40693,40375
40377,40694,0
40384,40695,40353
40385,40696,40359
40386,40697,0
40387,40698,40353
40388,40699,0
40398,40700,40340
40399,40701,0
40410,40702,0
40536,40703,40373
40556,40704,40410
40564,40705,40556
40574,40706,40353
