Old Img Id,New Img Id
323961,324830
324232,324831
324233,324832
323795,324833
323960,324834
316829,324835
323798,324836
323799,324837
316791,324838
316792,324839
323971,324840
321911,324841
321912,324842
321910,324843
321867,324844
324171,324845
323962,324846
321854,324847
321858,324848
315952,324849
315951,324850
321634,324851
321913,324852
315949,324853
315948,324854
315950,324855
316778,324856
316779,324857
315615,324858
315616,324859
315617,324860
315618,324861
315619,324862
315620,324863
315621,324864
315622,324865
315623,324866
315624,324867
315629,324868
315630,324869
315631,324870
315632,324871
315633,324872
316624,324873
315635,324874
315636,324875
315637,324876
316622,324877
315639,324878
316661,324879
316780,324880
315643,324881
315644,324882
315645,324883
315646,324884
315647,324885
315648,324886
315649,324887
315650,324888
315651,324889
315652,324890
315653,324891
315654,324892
315655,324893
315656,324894
315657,324895
315658,324896
315660,324897
315661,324898
315662,324899
315663,324900
315664,324901
315665,324902
315666,324903
315667,324904
315668,324905
315669,324906
315670,324907
315671,324908
315672,324909
315673,324910
315674,324911
315675,324912
315676,324913
315677,324914
315678,324915
315679,324916
315680,324917
318439,324918
315686,324919
315687,324920
315688,324921
315689,324922
315690,324923
315691,324924
315692,324925
315693,324926
315698,324927
315699,324928
315700,324929
315701,324930
315702,324931
315703,324932
315704,324933
315705,324934
315706,324935
315707,324936
315712,324937
315717,324938
315718,324939
315719,324940
315720,324941
315721,324942
315722,324943
315723,324944
315724,324945
315725,324946
315726,324947
315727,324948
315728,324949
315758,324950
315759,324951
315760,324952
315761,324953
315762,324954
315763,324955
315764,324956
315765,324957
315766,324958
315767,324959
315768,324960
315769,324961
315770,324962
315771,324963
315772,324964
315773,324965
315774,324966
315775,324967
315776,324968
315777,324969
315782,324970
315783,324971
315784,324972
315785,324973
315786,324974
315787,324975
315788,324976
315789,324977
315790,324978
315791,324979
315792,324980
315793,324981
315794,324982
315795,324983
315796,324984
315804,324985
315805,324986
315806,324987
315807,324988
315808,324989
315809,324990
315810,324991
315811,324992
315812,324993
315813,324994
315814,324995
315815,324996
315817,324997
315818,324998
315819,324999
315820,325000
315821,325001
315822,325002
315823,325003
315824,325004
315825,325005
315826,325006
315827,325007
315828,325008
315829,325009
315830,325010
315831,325011
315832,325012
315833,325013
315834,325014
315835,325015
315836,325016
315837,325017
315838,325018
315839,325019
315840,325020
315841,325021
315842,325022
315843,325023
315844,325024
315845,325025
315846,325026
315847,325027
315848,325028
315849,325029
315850,325030
315851,325031
315852,325032
315853,325033
315854,325034
315855,325035
315856,325036
315857,325037
315858,325038
315859,325039
315860,325040
315861,325041
315862,325042
315863,325043
315864,325044
315865,325045
315866,325046
315867,325047
315868,325048
315869,325049
315870,325050
315871,325051
315872,325052
315873,325053
315874,325054
315875,325055
315876,325056
315877,325057
315884,325058
315885,325059
315886,325060
315887,325061
315888,325062
315889,325063
315890,325064
315891,325065
315892,325066
315893,325067
315900,325068
315901,325069
315902,325070
315903,325071
315904,325072
315905,325073
315906,325074
315907,325075
315910,325076
315911,325077
315912,325078
315921,325079
315922,325080
315923,325081
315924,325082
315925,325083
315926,325084
315927,325085
315928,325086
316781,325087
315930,325088
315931,325089
315932,325090
315933,325091
315934,325092
315935,325093
315936,325094
315937,325095
315938,325096
315939,325097
315940,325098
315941,325099
315942,325100
315943,325101
315944,325102
315945,325103
315953,325104
315954,325105
315955,325106
315956,325107
315957,325108
315958,325109
315959,325110
315960,325111
315961,325112
315962,325113
315963,325114
