Old productid Id,New product Id
536819,538941
537089,538942
536811,538943
536808,538944
536815,538945
536816,538946
538208,538947
536974,538948
536975,538949
537265,538950
536976,538951
536977,538952
536772,538953
536774,538954
537322,538955
538584,538956
536809,538957
531593,538958
538756,538959
538537,538960
537132,538961
531602,538962
538868,538963
536665,538964
538888,538965
535384,538966
531603,538967
531674,538968
535617,538969
537098,538970
531607,538971
538869,538972
538863,538973
531675,538974
531676,538975
531677,538976
531678,538977
531679,538978
536667,538979
531604,538980
531605,538981
536666,538982
536669,538983
538586,538984
531608,538985
531600,538986
531601,538987
536452,538988
531592,538989
531590,538990
535343,538991
537103,538992
531578,538993
531579,538994
531580,538995
531581,538996
536771,538997
537091,538998
537092,538999
537093,539000
537094,539001
536945,539002
536946,539003
531583,539004
531584,539005
531585,539006
531586,539007
538591,539008
537097,539009
531574,539010
531575,539011
531576,539012
531577,539013
534876,539014
534877,539015
534879,539016
534880,539017
535781,539018
535676,539019
537146,539020
531591,539021
535338,539022
535340,539023
538585,539024
535587,539025
535675,539026
534899,539027
536814,539028
537741,539029
537095,539030
537096,539031
531672,539032
531606,539033
534833,539034
538878,539035
535663,539036
531587,539037
531588,539038
531589,539039
537074,539040
538885,539041
531596,539042
531597,539043
531598,539044
531599,539045
537983,539046
537075,539047
538133,539048
531671,539049
531630,539050
531631,539051
531632,539052
531615,539053
531616,539054
531617,539055
531618,539056
531619,539057
531620,539058
531621,539059
531622,539060
531623,539061
531624,539062
531625,539063
531626,539064
531627,539065
531628,539066
531629,539067
537088,539068
531635,539069
531636,539070
531609,539071
531611,539072
531612,539073
531614,539074
531667,539075
531670,539076
531637,539077
531640,539078
531666,539079
531665,539080
531668,539081
531669,539082
537073,539083
531633,539084
531655,539085
531656,539086
531657,539087
531659,539088
531660,539089
531661,539090
531663,539091
531664,539092
531645,539093
531646,539094
531647,539095
531648,539096
531649,539097
531652,539098
531653,539099
531654,539100
531644,539101
531641,539102
531642,539103
531643,539104
537133,539105
537090,539106
538919,539107
531680,539108
531681,539109
531682,539110
531683,539111
531685,539112
531687,539113
531688,539114
531689,539115
531691,539116
531692,539117
531693,539118
531694,539119
531695,539120
531697,539121
531698,539122
531699,539123
531700,539124
531701,539125
531702,539126
531703,539127
531704,539128
531705,539129
531706,539130
531707,539131
531708,539132
531709,539133
531710,539134
531711,539135
531712,539136
531713,539137
531714,539138
531715,539139
531716,539140
531717,539141
531718,539142
531719,539143
531720,539144
531721,539145
531722,539146
531723,539147
531724,539148
531725,539149
531726,539150
531727,539151
531728,539152
531729,539153
531730,539154
531731,539155
531732,539156
531733,539157
531734,539158
531736,539159
531737,539160
531738,539161
531739,539162
531740,539163
531743,539164
531744,539165
531745,539166
531746,539167
531747,539168
531748,539169
531749,539170
531750,539171
531751,539172
531752,539173
531753,539174
531754,539175
531755,539176
531756,539177
531757,539178
531758,539179
531759,539180
531760,539181
531761,539182
531762,539183
531763,539184
531764,539185
531765,539186
531766,539187
531767,539188
531768,539189
531769,539190
531770,539191
531772,539192
531773,539193
531774,539194
531777,539195
531780,539196
531781,539197
531784,539198
531785,539199
531786,539200
531787,539201
531789,539202
531791,539203
531792,539204
531795,539205
531796,539206
531797,539207
531798,539208
531799,539209
531800,539210
531801,539211
531802,539212
531803,539213
531804,539214
531805,539215
531806,539216
531807,539217
531808,539218
531809,539219
531810,539220
531811,539221
531812,539222
531813,539223
531814,539224
531815,539225
531817,539226
531820,539227
531821,539228
531822,539229
531823,539230
531825,539231
531826,539232
534900,539233
531827,539234
531828,539235
531829,539236
531830,539237
531831,539238
531832,539239
531833,539240
531834,539241
531835,539242
531838,539243
531839,539244
531840,539245
531841,539246
531842,539247
531843,539248
531844,539249
531845,539250
531846,539251
531847,539252
531848,539253
531849,539254
531850,539255
531851,539256
534895,539257
531853,539258
531854,539259
531855,539260
531856,539261
531857,539262
535074,539263
535075,539264
535076,539265
535077,539266
535079,539267
535080,539268
535081,539269
535082,539270
531859,539271
531866,539272
531867,539273
531868,539274
531869,539275
531870,539276
531873,539277
531874,539278
531875,539279
531877,539280
531880,539281
531881,539282
531882,539283
531885,539284
531886,539285
531887,539286
531888,539287
531889,539288
531890,539289
531891,539290
531892,539291
531893,539292
531898,539293
531899,539294
531900,539295
535086,539296
535087,539297
535088,539298
535089,539299
531902,539300
531903,539301
531904,539302
531905,539303
531907,539304
531909,539305
531910,539306
531911,539307
531912,539308
531914,539309
531915,539310
531916,539311
531917,539312
531918,539313
531919,539314
531920,539315
531921,539316
531922,539317
531924,539318
531925,539319
535347,539320
535348,539321
531927,539322
531929,539323
531930,539324
531933,539325
531934,539326
531935,539327
531937,539328
531938,539329
531940,539330
531941,539331
531942,539332
531943,539333
535083,539334
535084,539335
531944,539336
531945,539337
531948,539338
531949,539339
535085,539340
531954,539341
531955,539342
531957,539343
531958,539344
531959,539345
531960,539346
531962,539347
531963,539348
531965,539349
531966,539350
531967,539351
531968,539352
531969,539353
531970,539354
531971,539355
531973,539356
531976,539357
531978,539358
531979,539359
531980,539360
531982,539361
531983,539362
531984,539363
531989,539364
531991,539365
531992,539366
532016,539367
532017,539368
532019,539369
534839,539370
532022,539371
532023,539372
532024,539373
532025,539374
532026,539375
532029,539376
532030,539377
532031,539378
534866,539379
534867,539380
534868,539381
534869,539382
534870,539383
534871,539384
534872,539385
534873,539386
534874,539387
534875,539388
534893,539389
534863,539390
534864,539391
534865,539392
535844,539393
536879,539394
534834,539395
534838,539396
535341,539397
535342,539398
535344,539399
535345,539400
535346,539401
535349,539402
535350,539403
535351,539404
535352,539405
535353,539406
535354,539407
535355,539408
535613,539409
534883,539410
534884,539411
534885,539412
534886,539413
538826,539414
538837,539415
538843,539416
538844,539417
538847,539418
538887,539419
538925,539420
538926,539421
