Our Order id 99830	 passtype order	 session m50juke720tfhecrbb0iauutv4	 timestamp 20111103141916	 Result 101	 Order id 20111103141916-776	 message INVALID CARD	 authcode 	 pasref 13203299933856	 md5 1858302c16bafcc72906b6266f1522bf
Our Order id 99837	 passtype order	 session b4o5rudpqe46o7u0v1v6s7jvp3	 timestamp 20111103151017	 Result 00	 Order id 20111103151017-780	 message APPROVAL	 authcode 336411	 pasref 13203330387396	 md5 aba99271681bbe0b28ecc151b236fd68
Our Order id 100055	 passtype order	 session 9uth95n3uipp1eck8i8i16ur57	 timestamp 20111105113614	 Result 00	 Order id 20111105113614-247	 message APPROVAL	 authcode 087547	 pasref 13204929834664	 md5 9f83e806f2670237c6f00d13f3343657
Our Order id 100167	 passtype order	 session gjqk3c9lgga7jj1d9keonan5d2	 timestamp 20111106140312	 Result 00	 Order id 20111106140312-400	 message APPROVAL	 authcode 006026	 pasref 1320588235420	 md5 249bdc50d2614d731dc7ba21cf51745d
Our Order id 100395	 passtype order	 session kl28rrmlq0cnfmgm54b67kj641	 timestamp 20111107174415	 Result 101	 Order id 20111107174415-327	 message DECLINED	 authcode 	 pasref 13206878901056	 md5 e62df19d03a6c8d1c58eb2a19cdbf6dc
Our Order id 100438	 passtype order	 session fotoojtg9sduv4gn12311ejbb6	 timestamp 20111107220749	 Result 00	 Order id 20111107220749-371	 message APPROVAL	 authcode 041561	 pasref 13207036869040	 md5 f290dd92a1b28a5d137c6e3e43a351f0
Our Order id 100575	 passtype order	 session brv0lglmlks67440igt998ti62	 timestamp 20111108155944	 Result 00	 Order id 20111108155944-694	 message APPROVAL	 authcode 055936	 pasref 13207679744464	 md5 440490a69c8479458ac6672848cba07b
Our Order id 100584	 passtype order	 session 53rk0uqv76l5r5cdgv0a2ms247	 timestamp 20111108161949	 Result 00	 Order id 20111108161949-405	 message APPROVAL	 authcode 649527	 pasref 13207691948404	 md5 a8f726c107fe08598272a599cf520898
Our Order id 100636	 passtype order	 session 3onb68ihpame1ek8sh2bdo8r85	 timestamp 20111108210946	 Result 00	 Order id 20111108210946-402	 message APPROVAL	 authcode 012422	 pasref 13207866408112	 md5 fe3f9832a96f30fbb4de67b2cda09439
Our Order id 100708	 passtype order	 session 8raarblch0ivjtfe6ms41jm8q0	 timestamp 20111109112436	 Result 00	 Order id 20111109112436-424	 message APPROVAL	 authcode 320517	 pasref 13208379207416	 md5 43fdf5182b4db4c8b1c60dfefa13b640
Our Order id 100825	 passtype order	 session 4mla934sv5ij036jfo59g84t55	 timestamp 20111109210325	 Result 00	 Order id 20111109210325-314	 message APPROVAL	 authcode 027104	 pasref 13208726643900	 md5 0abfcd6c4a3f21a901f6812e95a90ee3
Our Order id 100969	 passtype order	 session 22rpnltpufeo0urf27p0lkh572	 timestamp 20111110190057	 Result 00	 Order id 20111110190057-989	 message APPROVAL	 authcode 014779	 pasref 13209528498696	 md5 8bd87aecb64669ea9fbaa960b3c622d9
Our Order id 100982	 passtype order	 session bo119laf4nm5g055mehf5v6ke3	 timestamp 20111110221645	 Result 00	 Order id 20111110221645-401	 message APPROVAL	 authcode 012242	 pasref 13209634287844	 md5 46fdf3d027fc7541d923bcd77c70b05c
Our Order id 101120	 passtype order	 session n20tsmbgoos5onsn6iqik38ku1	 timestamp 20111111225713	 Result 00	 Order id 20111111225713-864	 message APPROVAL	 authcode 021246	 pasref 13210522587752	 md5 759f9b97648649c07a76f078d9600154
Our Order id 101149	 passtype order	 session 8otbp7p7llog7bmg77l2lh0sj2	 timestamp 20111112125055	 Result 00	 Order id 20111112125055-725	 message APPROVAL	 authcode 117515	 pasref 13211022857740	 md5 3435067afd67caf0da7af83a2231bf5d
Our Order id 101184	 passtype order	 session d6jljmiilms3p5briev10j8i05	 timestamp 20111112213549	 Result 00	 Order id 20111112213549-219	 message APPROVAL	 authcode 090506	 pasref 13211337964324	 md5 02e074e1db1412b70493097a47ca82a3
Our Order id 101198	 passtype order	 session gsp7l7np70m02s4npq6flsrbp6	 timestamp 20111113100246	 Result 00	 Order id 20111113100246-365	 message APPROVAL	 authcode 744913	 pasref 13211785572104	 md5 3ea2993b05bebcf205890727463b703e
Our Order id 101227	 passtype order	 session mp22919588mr0ms4hiap3h9ft7	 timestamp 20111113152451	 Result 00	 Order id 20111113152451-825	 message APPROVAL	 authcode 024483	 pasref 13211978553428	 md5 af67de0366191e16681835f05c008499
Our Order id 101256	 passtype order	 session 697uqjbe755iq8f7c3h7i9pen1	 timestamp 20111113195514	 Result 00	 Order id 20111113195514-21	 message APPROVAL	 authcode 055592	 pasref 13212141083812	 md5 63c42a6c2320d4357a6ad2d8deb7184d
Our Order id 101261	 passtype order	 session ieknenl3cpk3vs0enni1pdeuk0	 timestamp 20111113200801	 Result 00	 Order id 20111113200801-466	 message APPROVAL	 authcode 919445	 pasref 13212149906268	 md5 96614e5124babd13dfae3dff655f712b
Our Order id 101614	 passtype order	 session 31oo4s8cqsar6gsa1npadlrrl6	 timestamp 20111115210738	 Result 00	 Order id 20111115210738-676	 message APPROVAL	 authcode 012709	 pasref 13213912299004	 md5 109549401e74f357b05f899580190f85
Our Order id 101640	 passtype order	 session h2du2i6rr47kr9439gj9cngng3	 timestamp 20111116052108	 Result 00	 Order id 20111116052108-831	 message APPROVAL	 authcode 078979	 pasref 13214208436824	 md5 6c8c810a80b101dd2ff636a4757db514
Our Order id 101740	 passtype order	 session 3q83bqd23rll6c1h72tui0qdl6	 timestamp 20111116153313	 Result 00	 Order id 20111116153313-745	 message APPROVAL	 authcode 069121	 pasref 13214575513764	 md5 42b2c85c254b9aebb443c63649e4b0d5
Our Order id 101772	 passtype order	 session 9u43e6s7nd6n98ts5m7909s634	 timestamp 20111116183140	 Result 00	 Order id 20111116183140-780	 message APPROVAL	 authcode 033289	 pasref 13214682713856	 md5 9cd916dee42dbc0404a10b469091ba96
Our Order id 101797	 passtype order	 session ikfa8kabqtn0aahs545fv9tht7	 timestamp 20111116211439	 Result 00	 Order id 20111116211439-268	 message APPROVAL	 authcode 004884	 pasref 13214780309132	 md5 e97d2b36c9e2160b66b523bfa6eed461
